date,facebook sign up new person,how to change facebook privacy settings
2011-01-01,2,21
2011-02-01,4,12
2011-03-01,9,22
2011-04-01,5,14
2011-05-01,6,17
2011-06-01,13,22
2011-07-01,13,20
2011-08-01,16,29
2011-09-01,19,60
2011-10-01,11,55
2011-11-01,7,48
2011-12-01,13,42
2012-01-01,10,39
2012-02-01,18,51
2012-03-01,20,41
2012-04-01,15,51
2012-05-01,6,48
2012-06-01,8,44
2012-07-01,29,41
2012-08-01,22,75
2012-09-01,5,100
2012-10-01,4,90
2012-11-01,3,66
2012-12-01,59,64
2013-01-01,21,54
2013-02-01,8,50
2013-03-01,5,49
2013-04-01,42,42
2013-05-01,30,44
2013-06-01,13,50
2013-07-01,20,51
2013-08-01,45,45
2013-09-01,43,47
2013-10-01,19,48
2013-11-01,25,38
2013-12-01,18,39
2014-01-01,32,40
2014-02-01,15,28
2014-03-01,27,33
2014-04-01,47,38
2014-05-01,50,36
2014-06-01,43,37
2014-07-01,42,32
2014-08-01,39,47
2014-09-01,52,32
2014-10-01,60,36
2014-11-01,39,28
2014-12-01,30,27
2015-01-01,31,34
2015-02-01,17,29
2015-03-01,27,29
2015-04-01,30,32
2015-05-01,24,33
2015-06-01,16,34
2015-07-01,10,34
2015-08-01,11,36
2015-09-01,6,29
2015-10-01,9,24
2015-11-01,7,31
2015-12-01,9,32
2016-01-01,9,33
2016-02-01,7,29
2016-03-01,7,27
2016-04-01,9,25
2016-05-01,7,26
2016-06-01,9,30
2016-07-01,4,35
2016-08-01,7,33
2016-09-01,6,28
2016-10-01,23,28
2016-11-01,38,26
2016-12-01,21,25
2017-01-01,11,29
