date,fb account,how to change facebook privacy settings
2011-01-01,6,0
2011-02-01,6,0
2011-03-01,7,0
2011-04-01,9,0
2011-05-01,9,0
2011-06-01,9,0
2011-07-01,11,0
2011-08-01,13,0
2011-09-01,13,1
2011-10-01,13,1
2011-11-01,13,1
2011-12-01,15,1
2012-01-01,15,1
2012-02-01,15,1
2012-03-01,15,1
2012-04-01,17,1
2012-05-01,18,1
2012-06-01,19,1
2012-07-01,21,1
2012-08-01,24,1
2012-09-01,23,1
2012-10-01,24,1
2012-11-01,25,1
2012-12-01,27,1
2013-01-01,28,1
2013-02-01,29,1
2013-03-01,32,1
2013-04-01,32,1
2013-05-01,36,1
2013-06-01,37,1
2013-07-01,40,1
2013-08-01,43,1
2013-09-01,41,1
2013-10-01,42,1
2013-11-01,44,1
2013-12-01,53,1
2014-01-01,52,1
2014-02-01,50,1
2014-03-01,52,0
2014-04-01,60,1
2014-05-01,65,1
2014-06-01,63,1
2014-07-01,65,1
2014-08-01,68,1
2014-09-01,62,1
2014-10-01,59,1
2014-11-01,59,0
2014-12-01,60,0
2015-01-01,66,1
2015-02-01,65,0
2015-03-01,62,1
2015-04-01,65,0
2015-05-01,67,1
2015-06-01,72,0
2015-07-01,70,1
2015-08-01,66,1
2015-09-01,66,0
2015-10-01,63,0
2015-11-01,61,1
2015-12-01,61,0
2016-01-01,61,1
2016-02-01,59,1
2016-03-01,61,0
2016-04-01,67,0
2016-05-01,64,0
2016-06-01,67,1
2016-07-01,68,0
2016-08-01,72,0
2016-09-01,68,0
2016-10-01,68,0
2016-11-01,100,0
2016-12-01,78,0
2017-01-01,78,0
