date,how to make tagged photos private on facebook,how to change facebook privacy settings
2011-01-01,2,21
2011-02-01,3,12
2011-03-01,3,22
2011-04-01,4,14
2011-05-01,2,17
2011-06-01,5,22
2011-07-01,2,20
2011-08-01,3,29
2011-09-01,12,60
2011-10-01,16,55
2011-11-01,12,48
2011-12-01,21,42
2012-01-01,21,39
2012-02-01,8,51
2012-03-01,19,41
2012-04-01,20,51
2012-05-01,22,48
2012-06-01,22,44
2012-07-01,18,41
2012-08-01,21,75
2012-09-01,22,100
2012-10-01,17,90
2012-11-01,11,66
2012-12-01,13,64
2013-01-01,12,54
2013-02-01,10,50
2013-03-01,9,49
2013-04-01,10,42
2013-05-01,8,44
2013-06-01,10,50
2013-07-01,10,51
2013-08-01,12,45
2013-09-01,12,47
2013-10-01,8,48
2013-11-01,10,38
2013-12-01,7,39
2014-01-01,9,40
2014-02-01,6,28
2014-03-01,5,33
2014-04-01,7,38
2014-05-01,6,36
2014-06-01,8,37
2014-07-01,5,32
2014-08-01,5,47
2014-09-01,7,32
2014-10-01,3,36
2014-11-01,1,28
2014-12-01,5,27
2015-01-01,3,34
2015-02-01,1,29
2015-03-01,3,29
2015-04-01,4,32
2015-05-01,2,33
2015-06-01,5,34
2015-07-01,3,34
2015-08-01,4,36
2015-09-01,3,29
2015-10-01,6,24
2015-11-01,7,31
2015-12-01,4,32
2016-01-01,4,33
2016-02-01,3,29
2016-03-01,3,27
2016-04-01,2,25
2016-05-01,3,26
2016-06-01,3,30
2016-07-01,1,35
2016-08-01,4,33
2016-09-01,4,28
2016-10-01,2,28
2016-11-01,2,26
2016-12-01,3,25
2017-01-01,2,29
