date,computer privacy software,how to change facebook privacy settings
2011-01-01,8,21
2011-02-01,12,14
2011-03-01,9,24
2011-04-01,13,13
2011-05-01,10,18
2011-06-01,10,20
2011-07-01,7,20
2011-08-01,9,24
2011-09-01,6,66
2011-10-01,10,62
2011-11-01,23,50
2011-12-01,14,44
2012-01-01,6,38
2012-02-01,7,55
2012-03-01,7,47
2012-04-01,9,59
2012-05-01,7,46
2012-06-01,2,42
2012-07-01,7,52
2012-08-01,7,75
2012-09-01,10,100
2012-10-01,10,88
2012-11-01,15,72
2012-12-01,10,70
2013-01-01,11,50
2013-02-01,6,53
2013-03-01,6,51
2013-04-01,12,45
2013-05-01,6,43
2013-06-01,10,53
2013-07-01,5,54
2013-08-01,9,44
2013-09-01,7,49
2013-10-01,13,44
2013-11-01,12,41
2013-12-01,9,44
2014-01-01,6,36
2014-02-01,14,28
2014-03-01,7,33
2014-04-01,11,42
2014-05-01,12,38
2014-06-01,8,40
2014-07-01,11,35
2014-08-01,8,49
2014-09-01,14,32
2014-10-01,9,40
2014-11-01,10,30
2014-12-01,10,30
2015-01-01,8,34
2015-02-01,13,28
2015-03-01,8,28
2015-04-01,14,33
2015-05-01,11,35
2015-06-01,9,36
2015-07-01,7,33
2015-08-01,7,37
2015-09-01,11,30
2015-10-01,9,28
2015-11-01,7,35
2015-12-01,8,31
2016-01-01,7,37
2016-02-01,11,31
2016-03-01,10,26
2016-04-01,9,25
2016-05-01,8,27
2016-06-01,5,30
2016-07-01,5,37
2016-08-01,5,36
2016-09-01,10,31
2016-10-01,7,26
2016-11-01,13,29
2016-12-01,8,30
2017-01-01,9,33
