date,how to delete facebook friends fast,how to change facebook privacy settings
2011-01-01,7,21
2011-02-01,4,12
2011-03-01,9,22
2011-04-01,10,14
2011-05-01,9,17
2011-06-01,6,22
2011-07-01,13,20
2011-08-01,19,29
2011-09-01,16,60
2011-10-01,37,55
2011-11-01,42,48
2011-12-01,30,42
2012-01-01,23,39
2012-02-01,29,51
2012-03-01,34,41
2012-04-01,41,51
2012-05-01,41,48
2012-06-01,54,44
2012-07-01,55,41
2012-08-01,33,75
2012-09-01,35,100
2012-10-01,36,90
2012-11-01,27,66
2012-12-01,19,64
2013-01-01,25,54
2013-02-01,8,50
2013-03-01,8,49
2013-04-01,8,42
2013-05-01,11,44
2013-06-01,11,50
2013-07-01,11,51
2013-08-01,9,45
2013-09-01,5,47
2013-10-01,5,48
2013-11-01,4,38
2013-12-01,5,39
2014-01-01,7,40
2014-02-01,9,28
2014-03-01,6,33
2014-04-01,6,38
2014-05-01,5,36
2014-06-01,6,37
2014-07-01,7,32
2014-08-01,10,47
2014-09-01,9,32
2014-10-01,8,36
2014-11-01,7,28
2014-12-01,4,27
2015-01-01,8,34
2015-02-01,5,29
2015-03-01,6,29
2015-04-01,5,32
2015-05-01,3,33
2015-06-01,2,34
2015-07-01,2,34
2015-08-01,3,36
2015-09-01,2,29
2015-10-01,2,24
2015-11-01,2,31
2015-12-01,5,32
2016-01-01,2,33
2016-02-01,2,29
2016-03-01,3,27
2016-04-01,4,25
2016-05-01,2,26
2016-06-01,3,30
2016-07-01,1,35
2016-08-01,4,33
2016-09-01,1,28
2016-10-01,3,28
2016-11-01,1,26
2016-12-01,4,25
2017-01-01,1,29
