date,facebook account settings username,how to change facebook privacy settings
2011-01-01,2,21
2011-02-01,2,14
2011-03-01,2,24
2011-04-01,3,13
2011-05-01,3,18
2011-06-01,3,20
2011-07-01,3,20
2011-08-01,3,24
2011-09-01,4,66
2011-10-01,4,62
2011-11-01,4,50
2011-12-01,5,44
2012-01-01,2,38
2012-02-01,2,55
2012-03-01,3,47
2012-04-01,2,59
2012-05-01,4,46
2012-06-01,3,42
2012-07-01,5,52
2012-08-01,2,75
2012-09-01,5,100
2012-10-01,2,88
2012-11-01,1,72
2012-12-01,6,70
2013-01-01,1,50
2013-02-01,2,53
2013-03-01,1,51
2013-04-01,2,45
2013-05-01,3,43
2013-06-01,4,53
2013-07-01,2,54
2013-08-01,1,44
2013-09-01,1,49
2013-10-01,1,44
2013-11-01,1,41
2013-12-01,1,44
2014-01-01,2,36
2014-02-01,2,28
2014-03-01,2,33
2014-04-01,2,42
2014-05-01,2,38
2014-06-01,1,40
2014-07-01,4,35
2014-08-01,1,49
2014-09-01,1,32
2014-10-01,1,40
2014-11-01,1,30
2014-12-01,1,30
2015-01-01,2,34
2015-02-01,3,28
2015-03-01,1,28
2015-04-01,2,33
2015-05-01,2,35
2015-06-01,2,36
2015-07-01,1,33
2015-08-01,1,37
2015-09-01,3,30
2015-10-01,1,28
2015-11-01,2,35
2015-12-01,3,31
2016-01-01,1,37
2016-02-01,1,31
2016-03-01,1,26
2016-04-01,2,25
2016-05-01,2,27
2016-06-01,1,30
2016-07-01,1,37
2016-08-01,1,36
2016-09-01,2,31
2016-10-01,2,26
2016-11-01,1,29
2016-12-01,1,30
2017-01-01,1,33
