date,Youtube Privacy Policy,privacy policy youtube
2011-01-01,12,12
2011-02-01,13,13
2011-03-01,10,10
2011-04-01,18,18
2011-05-01,18,18
2011-06-01,17,17
2011-07-01,13,13
2011-08-01,17,17
2011-09-01,11,11
2011-10-01,15,15
2011-11-01,23,23
2011-12-01,9,9
2012-01-01,70,70
2012-02-01,100,100
2012-03-01,79,79
2012-04-01,29,29
2012-05-01,25,25
2012-06-01,11,11
2012-07-01,15,15
2012-08-01,28,28
2012-09-01,13,13
2012-10-01,20,20
2012-11-01,17,17
2012-12-01,17,17
2013-01-01,21,21
2013-02-01,11,11
2013-03-01,21,21
2013-04-01,13,13
2013-05-01,15,15
2013-06-01,16,16
2013-07-01,17,17
2013-08-01,21,21
2013-09-01,20,20
2013-10-01,20,20
2013-11-01,22,22
2013-12-01,21,21
2014-01-01,24,24
2014-02-01,16,16
2014-03-01,18,18
2014-04-01,16,16
2014-05-01,23,23
2014-06-01,11,11
2014-07-01,19,19
2014-08-01,22,22
2014-09-01,17,17
2014-10-01,19,19
2014-11-01,21,21
2014-12-01,21,21
2015-01-01,20,20
2015-02-01,15,15
2015-03-01,18,18
2015-04-01,18,18
2015-05-01,21,21
2015-06-01,27,27
2015-07-01,21,21
2015-08-01,23,23
2015-09-01,30,30
2015-10-01,25,25
2015-11-01,25,25
2015-12-01,23,23
2016-01-01,27,27
2016-02-01,27,27
2016-03-01,36,36
2016-04-01,31,31
2016-05-01,26,26
2016-06-01,29,29
2016-07-01,30,30
2016-08-01,14,14
2016-09-01,35,35
2016-10-01,30,30
2016-11-01,27,27
2016-12-01,26,26
2017-01-01,36,36
