date,How to change privacy settings on twitter
2011-01-01,23
2011-02-01,12
2011-03-01,11
2011-04-01,12
2011-05-01,11
2011-06-01,12
2011-07-01,17
2011-08-01,22
2011-09-01,11
2011-10-01,15
2011-11-01,33
2011-12-01,15
2012-01-01,21
2012-02-01,23
2012-03-01,18
2012-04-01,31
2012-05-01,22
2012-06-01,15
2012-07-01,38
2012-08-01,32
2012-09-01,75
2012-10-01,100
2012-11-01,63
2012-12-01,69
2013-01-01,58
2013-02-01,63
2013-03-01,47
2013-04-01,46
2013-05-01,42
2013-06-01,41
2013-07-01,50
2013-08-01,56
2013-09-01,28
2013-10-01,28
2013-11-01,31
2013-12-01,47
2014-01-01,48
2014-02-01,45
2014-03-01,22
2014-04-01,25
2014-05-01,26
2014-06-01,14
2014-07-01,39
2014-08-01,44
2014-09-01,20
2014-10-01,13
2014-11-01,41
2014-12-01,32
2015-01-01,26
2015-02-01,11
2015-03-01,16
2015-04-01,10
2015-05-01,16
2015-06-01,12
2015-07-01,14
2015-08-01,6
2015-09-01,11
2015-10-01,9
2015-11-01,7
2015-12-01,8
2016-01-01,11
2016-02-01,5
2016-03-01,8
2016-04-01,5
2016-05-01,5
2016-06-01,16
2016-07-01,7
2016-08-01,5
2016-09-01,8
2016-10-01,14
2016-11-01,5
2016-12-01,7
2017-01-01,5
