date,How do I delete my SnapChat Account,how to delete a snapchat account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,1
2012-06-01,2,0
2012-07-01,0,1
2012-08-01,1,3
2012-09-01,1,3
2012-10-01,3,5
2012-11-01,7,23
2012-12-01,4,27
2013-01-01,4,23
2013-02-01,6,11
2013-03-01,6,21
2013-04-01,7,28
2013-05-01,9,25
2013-06-01,14,37
2013-07-01,13,40
2013-08-01,12,32
2013-09-01,11,33
2013-10-01,10,35
2013-11-01,9,35
2013-12-01,15,49
2014-01-01,27,65
2014-02-01,17,41
2014-03-01,24,52
2014-04-01,22,48
2014-05-01,19,77
2014-06-01,15,61
2014-07-01,15,57
2014-08-01,18,51
2014-09-01,20,51
2014-10-01,17,69
2014-11-01,14,64
2014-12-01,15,74
2015-01-01,20,89
2015-02-01,20,65
2015-03-01,15,76
2015-04-01,15,62
2015-05-01,13,49
2015-06-01,10,56
2015-07-01,22,74
2015-08-01,19,78
2015-09-01,14,68
2015-10-01,14,53
2015-11-01,17,59
2015-12-01,21,67
2016-01-01,20,64
2016-02-01,13,67
2016-03-01,13,69
2016-04-01,23,76
2016-05-01,24,91
2016-06-01,24,92
2016-07-01,19,100
2016-08-01,21,85
2016-09-01,25,72
2016-10-01,21,73
2016-11-01,15,69
2016-12-01,16,82
2017-01-01,20,87
