date,disable snapchat,how to delete a snapchat account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,1
2012-06-01,0,1
2012-07-01,0,3
2012-08-01,1,3
2012-09-01,2,5
2012-10-01,0,8
2012-11-01,2,26
2012-12-01,4,24
2013-01-01,4,25
2013-02-01,3,14
2013-03-01,3,20
2013-04-01,2,29
2013-05-01,9,20
2013-06-01,11,35
2013-07-01,11,45
2013-08-01,10,42
2013-09-01,11,33
2013-10-01,8,38
2013-11-01,15,35
2013-12-01,11,49
2014-01-01,26,78
2014-02-01,20,44
2014-03-01,19,56
2014-04-01,22,53
2014-05-01,29,74
2014-06-01,20,75
2014-07-01,22,64
2014-08-01,23,58
2014-09-01,25,56
2014-10-01,24,66
2014-11-01,24,60
2014-12-01,34,77
2015-01-01,26,100
2015-02-01,26,70
2015-03-01,26,81
2015-04-01,26,71
2015-05-01,23,52
2015-06-01,25,64
2015-07-01,35,77
2015-08-01,35,83
2015-09-01,31,62
2015-10-01,34,56
2015-11-01,30,62
2015-12-01,40,75
2016-01-01,41,74
2016-02-01,37,73
2016-03-01,45,78
2016-04-01,54,81
2016-05-01,54,93
2016-06-01,61,89
2016-07-01,77,97
2016-08-01,72,84
2016-09-01,73,79
2016-10-01,68,79
2016-11-01,57,73
2016-12-01,68,90
2017-01-01,65,95
