date,private search
2011-01-01,87
2011-02-01,81
2011-03-01,78
2011-04-01,76
2011-05-01,76
2011-06-01,82
2011-07-01,76
2011-08-01,77
2011-09-01,74
2011-10-01,72
2011-11-01,74
2011-12-01,67
2012-01-01,79
2012-02-01,83
2012-03-01,84
2012-04-01,76
2012-05-01,78
2012-06-01,72
2012-07-01,78
2012-08-01,80
2012-09-01,81
2012-10-01,72
2012-11-01,71
2012-12-01,72
2013-01-01,80
2013-02-01,77
2013-03-01,74
2013-04-01,81
2013-05-01,76
2013-06-01,87
2013-07-01,88
2013-08-01,87
2013-09-01,86
2013-10-01,87
2013-11-01,86
2013-12-01,82
2014-01-01,92
2014-02-01,86
2014-03-01,94
2014-04-01,84
2014-05-01,87
2014-06-01,86
2014-07-01,96
2014-08-01,92
2014-09-01,96
2014-10-01,92
2014-11-01,87
2014-12-01,82
2015-01-01,91
2015-02-01,89
2015-03-01,86
2015-04-01,85
2015-05-01,88
2015-06-01,92
2015-07-01,94
2015-08-01,93
2015-09-01,89
2015-10-01,89
2015-11-01,85
2015-12-01,88
2016-01-01,97
2016-02-01,94
2016-03-01,96
2016-04-01,93
2016-05-01,93
2016-06-01,95
2016-07-01,96
2016-08-01,98
2016-09-01,97
2016-10-01,91
2016-11-01,89
2016-12-01,87
2017-01-01,100
