date,search anonymously
2011-01-01,42
2011-02-01,56
2011-03-01,35
2011-04-01,28
2011-05-01,35
2011-06-01,41
2011-07-01,38
2011-08-01,40
2011-09-01,48
2011-10-01,35
2011-11-01,28
2011-12-01,52
2012-01-01,62
2012-02-01,56
2012-03-01,52
2012-04-01,44
2012-05-01,32
2012-06-01,55
2012-07-01,66
2012-08-01,29
2012-09-01,39
2012-10-01,48
2012-11-01,50
2012-12-01,38
2013-01-01,62
2013-02-01,52
2013-03-01,53
2013-04-01,53
2013-05-01,41
2013-06-01,51
2013-07-01,77
2013-08-01,72
2013-09-01,58
2013-10-01,87
2013-11-01,66
2013-12-01,62
2014-01-01,72
2014-02-01,69
2014-03-01,65
2014-04-01,84
2014-05-01,62
2014-06-01,46
2014-07-01,64
2014-08-01,74
2014-09-01,98
2014-10-01,67
2014-11-01,73
2014-12-01,89
2015-01-01,100
2015-02-01,81
2015-03-01,65
2015-04-01,81
2015-05-01,59
2015-06-01,79
2015-07-01,72
2015-08-01,66
2015-09-01,82
2015-10-01,79
2015-11-01,78
2015-12-01,58
2016-01-01,75
2016-02-01,61
2016-03-01,77
2016-04-01,68
2016-05-01,61
2016-06-01,68
2016-07-01,65
2016-08-01,61
2016-09-01,64
2016-10-01,70
2016-11-01,56
2016-12-01,63
2017-01-01,75
