date,Easy encryption,Encrypt phone calls
2011-01-01,99,9
2011-02-01,90,0
2011-03-01,100,8
2011-04-01,68,9
2011-05-01,64,12
2011-06-01,100,14
2011-07-01,77,8
2011-08-01,51,11
2011-09-01,68,8
2011-10-01,77,15
2011-11-01,97,7
2011-12-01,62,12
2012-01-01,68,13
2012-02-01,64,9
2012-03-01,48,20
2012-04-01,93,17
2012-05-01,90,13
2012-06-01,51,9
2012-07-01,53,13
2012-08-01,57,20
2012-09-01,86,6
2012-10-01,63,14
2012-11-01,65,6
2012-12-01,30,12
2013-01-01,57,14
2013-02-01,77,16
2013-03-01,51,14
2013-04-01,66,11
2013-05-01,51,18
2013-06-01,74,41
2013-07-01,57,23
2013-08-01,53,21
2013-09-01,62,15
2013-10-01,75,11
2013-11-01,56,10
2013-12-01,73,17
2014-01-01,67,12
2014-02-01,53,17
2014-03-01,58,15
2014-04-01,79,14
2014-05-01,46,16
2014-06-01,64,18
2014-07-01,62,15
2014-08-01,46,14
2014-09-01,54,25
2014-10-01,62,36
2014-11-01,69,14
2014-12-01,51,14
2015-01-01,62,20
2015-02-01,68,14
2015-03-01,67,28
2015-04-01,51,15
2015-05-01,45,12
2015-06-01,55,13
2015-07-01,41,22
2015-08-01,55,23
2015-09-01,61,11
2015-10-01,63,22
2015-11-01,62,23
2015-12-01,59,18
2016-01-01,41,27
2016-02-01,62,16
2016-03-01,63,17
2016-04-01,84,18
2016-05-01,52,14
2016-06-01,40,15
2016-07-01,31,13
2016-08-01,50,12
2016-09-01,41,19
2016-10-01,49,13
2016-11-01,56,23
2016-12-01,41,23
2017-01-01,48,12
