date,skype privacy policy,Total
1/1/11,54,54
2/1/11,57,57
3/1/11,42,42
4/1/11,27,27
5/1/11,51,51
6/1/11,39,39
7/1/11,65,65
8/1/11,37,37
9/1/11,56,56
10/1/11,23,23
11/1/11,46,46
12/1/11,56,56
1/1/12,21,21
2/1/12,43,43
3/1/12,40,40
4/1/12,32,32
5/1/12,39,39
6/1/12,20,20
7/1/12,34,34
8/1/12,100,100
9/1/12,26,26
10/1/12,18,18
11/1/12,24,24
12/1/12,18,18
1/1/13,33,33
2/1/13,42,42
3/1/13,27,27
4/1/13,33,33
5/1/13,32,32
6/1/13,33,33
7/1/13,65,65
8/1/13,56,56
9/1/13,47,47
10/1/13,15,15
11/1/13,30,30
12/1/13,30,30
1/1/14,33,33
2/1/14,23,23
3/1/14,23,23
4/1/14,14,14
5/1/14,19,19
6/1/14,49,49
7/1/14,16,16
8/1/14,21,21
9/1/14,35,35
10/1/14,43,43
11/1/14,37,37
12/1/14,24,24
1/1/15,45,45
2/1/15,44,44
3/1/15,35,35
4/1/15,14,14
5/1/15,27,27
6/1/15,27,27
7/1/15,22,22
8/1/15,35,35
9/1/15,47,47
10/1/15,25,25
11/1/15,21,21
12/1/15,30,30
1/1/16,24,24
2/1/16,24,24
3/1/16,28,28
4/1/16,35,35
5/1/16,34,34
6/1/16,29,29
7/1/16,24,24
8/1/16,27,27
9/1/16,30,30
10/1/16,36,36
11/1/16,33,33
12/1/16,33,33
1/1/17,41,41
