date,encrypted phone calls,Total
1/1/11,43,43
2/1/11,23,23
3/1/11,31,31
4/1/11,33,33
5/1/11,41,41
6/1/11,0,0
7/1/11,32,32
8/1/11,20,20
9/1/11,19,19
10/1/11,55,55
11/1/11,18,18
12/1/11,36,36
1/1/12,17,17
2/1/12,17,17
3/1/12,49,49
4/1/12,43,43
5/1/12,79,79
6/1/12,33,33
7/1/12,24,24
8/1/12,16,16
9/1/12,48,48
10/1/12,58,58
11/1/12,59,59
12/1/12,37,37
1/1/13,53,53
2/1/13,29,29
3/1/13,26,26
4/1/13,26,26
5/1/13,51,51
6/1/13,86,86
7/1/13,46,46
8/1/13,45,45
9/1/13,51,51
10/1/13,54,54
11/1/13,43,43
12/1/13,49,49
1/1/14,52,52
2/1/14,69,69
3/1/14,67,67
4/1/14,46,46
5/1/14,53,53
6/1/14,59,59
7/1/14,57,57
8/1/14,57,57
9/1/14,12,12
10/1/14,29,29
11/1/14,65,65
12/1/14,47,47
1/1/15,77,77
2/1/15,41,41
3/1/15,43,43
4/1/15,55,55
5/1/15,32,32
6/1/15,22,22
7/1/15,38,38
8/1/15,59,59
9/1/15,52,52
10/1/15,45,45
11/1/15,56,56
12/1/15,46,46
1/1/16,88,88
2/1/16,58,58
3/1/16,59,59
4/1/16,89,89
5/1/16,100,100
6/1/16,61,61
7/1/16,57,57
8/1/16,74,74
9/1/16,69,69
10/1/16,53,53
11/1/16,89,89
12/1/16,75,75
1/1/17,67,67
