date,skype encryption,Total
1/1/11,100,100
2/1/11,76,76
3/1/11,72,72
4/1/11,65,65
5/1/11,84,84
6/1/11,61,61
7/1/11,68,68
8/1/11,70,70
9/1/11,68,68
10/1/11,51,51
11/1/11,34,34
12/1/11,42,42
1/1/12,52,52
2/1/12,61,61
3/1/12,51,51
4/1/12,55,55
5/1/12,40,40
6/1/12,58,58
7/1/12,53,53
8/1/12,60,60
9/1/12,34,34
10/1/12,42,42
11/1/12,61,61
12/1/12,39,39
1/1/13,50,50
2/1/13,50,50
3/1/13,60,60
4/1/13,49,49
5/1/13,51,51
6/1/13,80,80
7/1/13,71,71
8/1/13,52,52
9/1/13,49,49
10/1/13,46,46
11/1/13,50,50
12/1/13,48,48
1/1/14,29,29
2/1/14,52,52
3/1/14,39,39
4/1/14,36,36
5/1/14,39,39
6/1/14,29,29
7/1/14,41,41
8/1/14,26,26
9/1/14,35,35
10/1/14,39,39
11/1/14,34,34
12/1/14,35,35
1/1/15,34,34
2/1/15,40,40
3/1/15,39,39
4/1/15,35,35
5/1/15,26,26
6/1/15,32,32
7/1/15,35,35
8/1/15,34,34
9/1/15,32,32
10/1/15,30,30
11/1/15,32,32
12/1/15,36,36
1/1/16,29,29
2/1/16,42,42
3/1/16,55,55
4/1/16,63,63
5/1/16,47,47
6/1/16,40,40
7/1/16,40,40
8/1/16,41,41
9/1/16,52,52
10/1/16,44,44
11/1/16,39,39
12/1/16,34,34
1/1/17,29,29
