date,skype encryption,skype privacy policy,Total
1/1/11,455,54,509
2/1/11,346,57,403
3/1/11,328,42,370
4/1/11,296,27,323
5/1/11,378,51,429
6/1/11,273,39,312
7/1/11,310,65,375
8/1/11,314,37,351
9/1/11,310,56,366
10/1/11,232,23,255
11/1/11,155,46,201
12/1/11,191,56,247
1/1/12,237,21,258
2/1/12,278,43,321
3/1/12,232,40,272
4/1/12,251,32,283
5/1/12,182,39,221
6/1/12,264,20,284
7/1/12,237,34,271
8/1/12,269,100,369
9/1/12,155,26,181
10/1/12,191,18,209
11/1/12,278,24,302
12/1/12,178,18,196
1/1/13,228,33,261
2/1/13,228,42,270
3/1/13,278,27,305
4/1/13,223,33,256
5/1/13,232,32,264
6/1/13,364,33,397
7/1/13,323,65,388
8/1/13,232,56,288
9/1/13,223,47,270
10/1/13,210,15,225
11/1/13,228,30,258
12/1/13,219,30,249
1/1/14,132,33,165
2/1/14,237,23,260
3/1/14,178,23,201
4/1/14,160,14,174
5/1/14,178,19,197
6/1/14,132,49,181
7/1/14,187,16,203
8/1/14,119,21,140
9/1/14,160,35,195
10/1/14,178,43,221
11/1/14,155,37,192
12/1/14,160,24,184
1/1/15,150,45,195
2/1/15,182,44,226
3/1/15,178,35,213
4/1/15,160,14,174
5/1/15,119,27,146
6/1/15,146,27,173
7/1/15,160,22,182
8/1/15,155,35,190
9/1/15,146,47,193
10/1/15,137,25,162
11/1/15,146,21,167
12/1/15,164,30,194
1/1/16,132,24,156
2/1/16,191,24,215
3/1/16,251,28,279
4/1/16,287,35,322
5/1/16,214,34,248
6/1/16,182,29,211
7/1/16,182,24,206
8/1/16,187,27,214
9/1/16,237,30,267
10/1/16,201,36,237
11/1/16,173,33,206
12/1/16,155,33,188
1/1/17,132,41,173
