date,encrypting emails,how to encrypt email,how to encrypt emails,Total
1/1/11,21,329,35,385
2/1/11,66,315,59,440
3/1/11,80,322,46,448
4/1/11,49,236,42,327
5/1/11,50,243,53,346
6/1/11,41,286,54,381
7/1/11,61,236,47,344
8/1/11,64,272,64,400
9/1/11,38,293,44,375
10/1/11,53,215,65,333
11/1/11,65,222,41,328
12/1/11,23,293,62,378
1/1/12,48,293,43,384
2/1/12,45,379,45,469
3/1/12,55,250,39,344
4/1/12,44,243,94,381
5/1/12,56,315,66,437
6/1/12,48,308,40,396
7/1/12,31,358,63,452
8/1/12,31,322,36,389
9/1/12,41,358,62,461
10/1/12,51,415,37,503
11/1/12,28,408,52,488
12/1/12,36,343,80,459
1/1/13,81,379,34,494
2/1/13,85,479,66,630
3/1/13,42,443,55,540
4/1/13,43,408,55,506
5/1/13,29,408,58,495
6/1/13,60,515,51,626
7/1/13,55,443,92,590
8/1/13,50,522,67,639
9/1/13,49,479,61,589
10/1/13,23,422,62,507
11/1/13,32,429,79,540
12/1/13,44,372,41,457
1/1/14,26,486,59,571
2/1/14,41,536,32,609
3/1/14,69,486,83,638
4/1/14,45,450,37,532
5/1/14,53,479,79,611
6/1/14,34,558,59,651
7/1/14,41,515,57,613
8/1/14,20,408,45,473
9/1/14,28,458,55,541
10/1/14,56,443,26,525
11/1/14,27,415,73,515
12/1/14,30,393,49,472
1/1/15,35,572,46,653
2/1/15,30,493,42,565
3/1/15,52,493,28,573
4/1/15,18,529,93,640
5/1/15,56,443,62,561
6/1/15,21,472,67,560
7/1/15,42,465,73,580
8/1/15,24,458,45,527
9/1/15,30,529,54,613
10/1/15,32,515,67,614
11/1/15,56,558,43,657
12/1/15,37,500,50,587
1/1/16,35,436,69,540
2/1/16,53,572,88,713
3/1/16,44,672,73,789
4/1/16,46,715,100,861
5/1/16,35,543,82,660
6/1/16,52,586,43,681
7/1/16,28,522,67,617
8/1/16,39,515,83,637
9/1/16,36,593,62,691
10/1/16,34,579,65,678
11/1/16,43,636,77,756
12/1/16,28,500,62,590
1/1/17,46,658,94,798
