date,hillary clinton encryption,how to encrypt text messages,Total
1/1/11,0,49,49
2/1/11,0,34,34
3/1/11,0,0,0
4/1/11,0,33,33
5/1/11,0,31,31
6/1/11,0,0,0
7/1/11,0,95,95
8/1/11,0,90,90
9/1/11,0,58,58
10/1/11,0,0,0
11/1/11,0,83,83
12/1/11,0,55,55
1/1/12,0,25,25
2/1/12,0,53,53
3/1/12,0,0,0
4/1/12,0,39,39
5/1/12,0,24,24
6/1/12,0,50,50
7/1/12,0,25,25
8/1/12,0,0,0
9/1/12,0,48,48
10/1/12,0,33,33
11/1/12,0,22,22
12/1/12,0,0,0
1/1/13,0,30,30
2/1/13,0,67,67
3/1/13,0,30,30
4/1/13,0,70,70
5/1/13,0,19,19
6/1/13,0,40,40
7/1/13,0,49,49
8/1/13,0,39,39
9/1/13,0,0,0
10/1/13,0,37,37
11/1/13,0,37,37
12/1/13,0,46,46
1/1/14,0,26,26
2/1/14,0,47,47
3/1/14,0,34,34
4/1/14,0,26,26
5/1/14,0,44,44
6/1/14,0,40,40
7/1/14,0,57,57
8/1/14,19,19,38
9/1/14,0,46,46
10/1/14,0,87,87
11/1/14,0,36,36
12/1/14,0,35,35
1/1/15,0,33,33
2/1/15,0,53,53
3/1/15,0,65,65
4/1/15,0,59,59
5/1/15,0,33,33
6/1/15,0,33,33
7/1/15,0,33,33
8/1/15,0,24,24
9/1/15,16,63,79
10/1/15,0,38,38
11/1/15,47,23,70
12/1/15,109,39,148
1/1/16,74,74,148
2/1/16,110,29,139
3/1/16,55,55,110
4/1/16,58,21,79
5/1/16,49,62,111
6/1/16,58,43,101
7/1/16,29,29,58
8/1/16,15,35,50
9/1/16,70,56,126
10/1/16,73,66,139
11/1/16,81,67,148
12/1/16,14,100,114
1/1/17,26,44,70
