date,google hangouts privacy,Total
1/1/11,40,40
2/1/11,0,0
3/1/11,0,0
4/1/11,0,0
5/1/11,0,0
6/1/11,0,0
7/1/11,39,39
8/1/11,0,0
9/1/11,0,0
10/1/11,34,34
11/1/11,0,0
12/1/11,0,0
1/1/12,30,30
2/1/12,0,0
3/1/12,59,59
4/1/12,31,31
5/1/12,29,29
6/1/12,45,45
7/1/12,0,0
8/1/12,29,29
9/1/12,0,0
10/1/12,53,53
11/1/12,0,0
12/1/12,27,27
1/1/13,24,24
2/1/13,27,27
3/1/13,24,24
4/1/13,24,24
5/1/13,94,94
6/1/13,65,65
7/1/13,72,72
8/1/13,59,59
9/1/13,35,35
10/1/13,33,33
11/1/13,60,60
12/1/13,68,68
1/1/14,84,84
2/1/14,69,69
3/1/14,93,93
4/1/14,92,92
5/1/14,57,57
6/1/14,40,40
7/1/14,62,62
8/1/14,93,93
9/1/14,60,60
10/1/14,57,57
11/1/14,43,43
12/1/14,64,64
1/1/15,100,100
2/1/15,58,58
3/1/15,46,46
4/1/15,71,71
5/1/15,66,66
6/1/15,73,73
7/1/15,53,53
8/1/15,65,65
9/1/15,77,77
10/1/15,73,73
11/1/15,93,93
12/1/15,57,57
1/1/16,42,42
2/1/16,89,89
3/1/16,95,95
4/1/16,46,46
5/1/16,33,33
6/1/16,40,40
7/1/16,52,52
8/1/16,73,73
9/1/16,90,90
10/1/16,75,75
11/1/16,59,59
12/1/16,54,54
1/1/17,61,61
