date,how to protect against phishing,Total
1/1/11,54,54
2/1/11,29,29
3/1/11,51,51
4/1/11,55,55
5/1/11,39,39
6/1/11,53,53
7/1/11,40,40
8/1/11,25,25
9/1/11,37,37
10/1/11,46,46
11/1/11,46,46
12/1/11,57,57
1/1/12,35,35
2/1/12,22,22
3/1/12,31,31
4/1/12,43,43
5/1/12,100,100
6/1/12,52,52
7/1/12,21,21
8/1/12,27,27
9/1/12,40,40
10/1/12,55,55
11/1/12,46,46
12/1/12,56,56
1/1/13,17,17
2/1/13,25,25
3/1/13,39,39
4/1/13,28,28
5/1/13,27,27
6/1/13,33,33
7/1/13,16,16
8/1/13,16,16
9/1/13,40,40
10/1/13,51,51
11/1/13,36,36
12/1/13,52,52
1/1/14,43,43
2/1/14,58,58
3/1/14,42,42
4/1/14,29,29
5/1/14,39,39
6/1/14,27,27
7/1/14,48,48
8/1/14,32,32
9/1/14,31,31
10/1/14,58,58
11/1/14,20,20
12/1/14,29,29
1/1/15,41,41
2/1/15,20,20
3/1/15,50,50
4/1/15,33,33
5/1/15,20,20
6/1/15,41,41
7/1/15,27,27
8/1/15,20,20
9/1/15,39,39
10/1/15,33,33
11/1/15,47,47
12/1/15,39,39
1/1/16,31,31
2/1/16,49,49
3/1/16,31,31
4/1/16,20,20
5/1/16,29,29
6/1/16,12,12
7/1/16,24,24
8/1/16,58,58
9/1/16,17,17
10/1/16,48,48
11/1/16,59,59
12/1/16,41,41
1/1/17,26,26
