date,cell phone hacking,delete hangout history,Total
1/1/11,367,0,367
2/1/11,445,13,458
3/1/11,412,12,424
4/1/11,434,0,434
5/1/11,312,0,312
6/1/11,412,0,412
7/1/11,1112,12,1124
8/1/11,467,0,467
9/1/11,778,0,778
10/1/11,545,0,545
11/1/11,467,0,467
12/1/11,545,0,545
1/1/12,456,0,456
2/1/12,467,0,467
3/1/12,512,0,512
4/1/12,423,0,423
5/1/12,467,0,467
6/1/12,423,0,423
7/1/12,389,0,389
8/1/12,367,9,376
9/1/12,445,0,445
10/1/12,400,8,408
11/1/12,378,8,386
12/1/12,412,8,420
1/1/13,356,0,356
2/1/13,345,17,362
3/1/13,345,12,357
4/1/13,356,0,356
5/1/13,356,34,390
6/1/13,289,35,324
7/1/13,445,49,494
8/1/13,412,51,463
9/1/13,323,59,382
10/1/13,345,52,397
11/1/13,356,57,413
12/1/13,367,74,441
1/1/14,289,54,343
2/1/14,378,75,453
3/1/14,367,51,418
4/1/14,312,61,373
5/1/14,356,70,426
6/1/14,345,73,418
7/1/14,334,69,403
8/1/14,267,57,324
9/1/14,389,96,485
10/1/14,323,72,395
11/1/14,400,100,500
12/1/14,267,72,339
1/1/15,289,78,367
2/1/15,345,51,396
3/1/15,312,68,380
4/1/15,334,62,396
5/1/15,345,67,412
6/1/15,356,74,430
7/1/15,334,67,401
8/1/15,356,82,438
9/1/15,323,80,403
10/1/15,267,47,314
11/1/15,256,61,317
12/1/15,267,62,329
1/1/16,289,64,353
2/1/16,267,42,309
3/1/16,278,44,322
4/1/16,334,35,369
5/1/16,267,38,305
6/1/16,256,37,293
7/1/16,278,36,314
8/1/16,267,31,298
9/1/16,267,35,302
10/1/16,223,28,251
11/1/16,245,33,278
12/1/16,245,31,276
1/1/17,289,36,325
