date,Set instagram to private,how to change instagram privacy settings
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,5,0
2011-09-01,5,0
2011-10-01,5,0
2011-11-01,5,0
2011-12-01,5,0
2012-01-01,9,4
2012-02-01,6,0
2012-03-01,4,0
2012-04-01,15,9
2012-05-01,20,8
2012-06-01,13,4
2012-07-01,18,4
2012-08-01,25,11
2012-09-01,43,78
2012-10-01,34,54
2012-11-01,34,38
2012-12-01,55,44
2013-01-01,42,44
2013-02-01,22,34
2013-03-01,35,31
2013-04-01,35,23
2013-05-01,47,27
2013-06-01,38,24
2013-07-01,59,34
2013-08-01,52,21
2013-09-01,60,34
2013-10-01,61,20
2013-11-01,69,18
2013-12-01,76,18
2014-01-01,91,23
2014-02-01,67,21
2014-03-01,82,24
2014-04-01,85,21
2014-05-01,76,19
2014-06-01,85,19
2014-07-01,77,29
2014-08-01,100,22
2014-09-01,83,20
2014-10-01,89,28
2014-11-01,74,19
2014-12-01,95,13
2015-01-01,67,18
2015-02-01,67,9
2015-03-01,37,10
2015-04-01,44,17
2015-05-01,44,12
2015-06-01,53,8
2015-07-01,55,8
2015-08-01,44,8
2015-09-01,42,14
2015-10-01,41,10
2015-11-01,45,10
2015-12-01,62,10
2016-01-01,45,11
2016-02-01,45,8
2016-03-01,44,10
2016-04-01,45,12
2016-05-01,59,10
2016-06-01,44,8
2016-07-01,50,20
2016-08-01,54,17
2016-09-01,56,5
2016-10-01,50,9
2016-11-01,47,7
2016-12-01,46,9
2017-01-01,60,14
