date,privacy settings for instagram,how to change instagram privacy settings
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,6,6
2012-02-01,12,0
2012-03-01,0,0
2012-04-01,11,11
2012-05-01,9,11
2012-06-01,17,6
2012-07-01,8,5
2012-08-01,8,14
2012-09-01,46,100
2012-10-01,36,69
2012-11-01,16,49
2012-12-01,36,56
2013-01-01,22,56
2013-02-01,12,44
2013-03-01,12,39
2013-04-01,16,30
2013-05-01,19,35
2013-06-01,24,31
2013-07-01,16,44
2013-08-01,22,27
2013-09-01,17,44
2013-10-01,12,26
2013-11-01,11,23
2013-12-01,10,23
2014-01-01,15,29
2014-02-01,7,27
2014-03-01,23,30
2014-04-01,8,27
2014-05-01,12,25
2014-06-01,9,25
2014-07-01,6,37
2014-08-01,14,28
2014-09-01,10,26
2014-10-01,12,36
2014-11-01,4,24
2014-12-01,5,17
2015-01-01,11,23
2015-02-01,7,12
2015-03-01,10,13
2015-04-01,6,22
2015-05-01,7,16
2015-06-01,9,10
2015-07-01,7,11
2015-08-01,8,11
2015-09-01,12,18
2015-10-01,9,13
2015-11-01,11,12
2015-12-01,5,13
2016-01-01,8,14
2016-02-01,8,10
2016-03-01,9,13
2016-04-01,9,15
2016-05-01,8,13
2016-06-01,5,11
2016-07-01,5,25
2016-08-01,6,22
2016-09-01,10,6
2016-10-01,7,12
2016-11-01,8,9
2016-12-01,6,12
2017-01-01,5,18
