date,how to change facebook privacy settings,how to change instagram privacy settings
2011-01-01,23,0
2011-02-01,24,0
2011-03-01,21,0
2011-04-01,10,0
2011-05-01,16,0
2011-06-01,24,0
2011-07-01,24,0
2011-08-01,25,0
2011-09-01,72,0
2011-10-01,72,0
2011-11-01,57,0
2011-12-01,52,0
2012-01-01,43,2
2012-02-01,55,0
2012-03-01,44,0
2012-04-01,51,3
2012-05-01,44,3
2012-06-01,50,2
2012-07-01,43,2
2012-08-01,67,4
2012-09-01,100,30
2012-10-01,89,21
2012-11-01,72,15
2012-12-01,65,17
2013-01-01,56,17
2013-02-01,63,13
2013-03-01,51,12
2013-04-01,44,9
2013-05-01,52,10
2013-06-01,47,9
2013-07-01,55,13
2013-08-01,51,8
2013-09-01,49,13
2013-10-01,52,8
2013-11-01,44,7
2013-12-01,35,7
2014-01-01,50,9
2014-02-01,36,8
2014-03-01,34,9
2014-04-01,42,8
2014-05-01,33,7
2014-06-01,42,7
2014-07-01,38,11
2014-08-01,49,8
2014-09-01,38,8
2014-10-01,46,11
2014-11-01,35,7
2014-12-01,31,5
2015-01-01,38,7
2015-02-01,37,4
2015-03-01,33,4
2015-04-01,31,7
2015-05-01,34,5
2015-06-01,40,3
2015-07-01,35,3
2015-08-01,31,3
2015-09-01,29,5
2015-10-01,30,4
2015-11-01,32,4
2015-12-01,36,4
2016-01-01,34,4
2016-02-01,35,3
2016-03-01,27,4
2016-04-01,29,4
2016-05-01,30,4
2016-06-01,36,3
2016-07-01,34,8
2016-08-01,34,7
2016-09-01,32,2
2016-10-01,28,3
2016-11-01,32,3
2016-12-01,29,4
2017-01-01,27,5
