date,Instagram settings,how to change instagram privacy settings
2011-01-01,1,0
2011-02-01,1,0
2011-03-01,1,0
2011-04-01,2,0
2011-05-01,2,0
2011-06-01,2,0
2011-07-01,3,0
2011-08-01,2,0
2011-09-01,2,0
2011-10-01,3,0
2011-11-01,4,0
2011-12-01,3,0
2012-01-01,8,1
2012-02-01,6,0
2012-03-01,8,0
2012-04-01,25,1
2012-05-01,26,1
2012-06-01,25,1
2012-07-01,34,1
2012-08-01,31,2
2012-09-01,100,12
2012-10-01,95,8
2012-11-01,76,6
2012-12-01,99,7
2013-01-01,67,7
2013-02-01,62,5
2013-03-01,61,5
2013-04-01,56,4
2013-05-01,60,4
2013-06-01,69,4
2013-07-01,59,5
2013-08-01,63,3
2013-09-01,64,5
2013-10-01,58,3
2013-11-01,48,3
2013-12-01,61,3
2014-01-01,62,4
2014-02-01,58,3
2014-03-01,58,4
2014-04-01,61,3
2014-05-01,59,3
2014-06-01,64,3
2014-07-01,59,4
2014-08-01,60,3
2014-09-01,60,3
2014-10-01,60,4
2014-11-01,57,3
2014-12-01,63,2
2015-01-01,60,3
2015-02-01,59,1
2015-03-01,55,2
2015-04-01,55,3
2015-05-01,49,2
2015-06-01,58,1
2015-07-01,65,1
2015-08-01,65,1
2015-09-01,64,2
2015-10-01,57,2
2015-11-01,63,1
2015-12-01,65,2
2016-01-01,69,2
2016-02-01,63,1
2016-03-01,70,2
2016-04-01,74,2
2016-05-01,69,2
2016-06-01,84,1
2016-07-01,86,3
2016-08-01,83,3
2016-09-01,83,1
2016-10-01,82,1
2016-11-01,90,1
2016-12-01,86,1
2017-01-01,93,2
