date,safari incognito iphone
2011-01-01,0
2011-02-01,14
2011-03-01,12
2011-04-01,12
2011-05-01,12
2011-06-01,13
2011-07-01,12
2011-08-01,18
2011-09-01,11
2011-10-01,16
2011-11-01,16
2011-12-01,21
2012-01-01,25
2012-02-01,14
2012-03-01,10
2012-04-01,20
2012-05-01,13
2012-06-01,20
2012-07-01,22
2012-08-01,25
2012-09-01,25
2012-10-01,46
2012-11-01,17
2012-12-01,49
2013-01-01,43
2013-02-01,38
2013-03-01,36
2013-04-01,50
2013-05-01,46
2013-06-01,58
2013-07-01,46
2013-08-01,49
2013-09-01,55
2013-10-01,38
2013-11-01,34
2013-12-01,44
2014-01-01,47
2014-02-01,27
2014-03-01,24
2014-04-01,34
2014-05-01,33
2014-06-01,39
2014-07-01,35
2014-08-01,43
2014-09-01,55
2014-10-01,46
2014-11-01,68
2014-12-01,51
2015-01-01,67
2015-02-01,61
2015-03-01,70
2015-04-01,63
2015-05-01,68
2015-06-01,93
2015-07-01,70
2015-08-01,49
2015-09-01,70
2015-10-01,100
2015-11-01,62
2015-12-01,73
2016-01-01,61
2016-02-01,98
2016-03-01,50
2016-04-01,74
2016-05-01,72
2016-06-01,71
2016-07-01,75
2016-08-01,70
2016-09-01,80
2016-10-01,86
2016-11-01,75
2016-12-01,94
2017-01-01,89
