date,surf anonymously online
2011-01-01,64
2011-02-01,45
2011-03-01,65
2011-04-01,54
2011-05-01,25
2011-06-01,88
2011-07-01,46
2011-08-01,53
2011-09-01,71
2011-10-01,36
2011-11-01,63
2011-12-01,79
2012-01-01,57
2012-02-01,80
2012-03-01,68
2012-04-01,100
2012-05-01,93
2012-06-01,56
2012-07-01,36
2012-08-01,43
2012-09-01,47
2012-10-01,67
2012-11-01,50
2012-12-01,65
2013-01-01,46
2013-02-01,47
2013-03-01,45
2013-04-01,55
2013-05-01,54
2013-06-01,29
2013-07-01,42
2013-08-01,63
2013-09-01,50
2013-10-01,53
2013-11-01,45
2013-12-01,27
2014-01-01,34
2014-02-01,43
2014-03-01,45
2014-04-01,23
2014-05-01,46
2014-06-01,58
2014-07-01,50
2014-08-01,47
2014-09-01,51
2014-10-01,28
2014-11-01,58
2014-12-01,66
2015-01-01,77
2015-02-01,32
2015-03-01,24
2015-04-01,46
2015-05-01,55
2015-06-01,51
2015-07-01,50
2015-08-01,52
2015-09-01,33
2015-10-01,19
2015-11-01,32
2015-12-01,46
2016-01-01,48
2016-02-01,50
2016-03-01,27
2016-04-01,55
2016-05-01,45
2016-06-01,28
2016-07-01,37
2016-08-01,43
2016-09-01,25
2016-10-01,30
2016-11-01,34
2016-12-01,19
2017-01-01,12
