date,browse anonymously
2011-01-01,69
2011-02-01,59
2011-03-01,56
2011-04-01,60
2011-05-01,52
2011-06-01,59
2011-07-01,96
2011-08-01,70
2011-09-01,66
2011-10-01,64
2011-11-01,70
2011-12-01,68
2012-01-01,71
2012-02-01,87
2012-03-01,72
2012-04-01,64
2012-05-01,66
2012-06-01,75
2012-07-01,91
2012-08-01,70
2012-09-01,70
2012-10-01,70
2012-11-01,58
2012-12-01,66
2013-01-01,69
2013-02-01,66
2013-03-01,72
2013-04-01,74
2013-05-01,79
2013-06-01,66
2013-07-01,83
2013-08-01,78
2013-09-01,67
2013-10-01,56
2013-11-01,56
2013-12-01,70
2014-01-01,67
2014-02-01,64
2014-03-01,68
2014-04-01,62
2014-05-01,68
2014-06-01,73
2014-07-01,100
2014-08-01,70
2014-09-01,66
2014-10-01,62
2014-11-01,68
2014-12-01,73
2015-01-01,80
2015-02-01,64
2015-03-01,67
2015-04-01,66
2015-05-01,65
2015-06-01,65
2015-07-01,83
2015-08-01,82
2015-09-01,74
2015-10-01,68
2015-11-01,61
2015-12-01,53
2016-01-01,58
2016-02-01,60
2016-03-01,58
2016-04-01,43
2016-05-01,49
2016-06-01,52
2016-07-01,65
2016-08-01,48
2016-09-01,55
2016-10-01,51
2016-11-01,58
2016-12-01,54
2017-01-01,61
