date,orweb android
2011-01-01,0
2011-02-01,10
2011-03-01,9
2011-04-01,9
2011-05-01,9
2011-06-01,9
2011-07-01,12
2011-08-01,17
2011-09-01,11
2011-10-01,19
2011-11-01,16
2011-12-01,23
2012-01-01,28
2012-02-01,29
2012-03-01,24
2012-04-01,12
2012-05-01,29
2012-06-01,32
2012-07-01,41
2012-08-01,31
2012-09-01,51
2012-10-01,18
2012-11-01,20
2012-12-01,14
2013-01-01,32
2013-02-01,25
2013-03-01,33
2013-04-01,28
2013-05-01,34
2013-06-01,46
2013-07-01,42
2013-08-01,45
2013-09-01,51
2013-10-01,52
2013-11-01,60
2013-12-01,79
2014-01-01,59
2014-02-01,80
2014-03-01,69
2014-04-01,67
2014-05-01,69
2014-06-01,64
2014-07-01,89
2014-08-01,73
2014-09-01,73
2014-10-01,48
2014-11-01,84
2014-12-01,72
2015-01-01,74
2015-02-01,94
2015-03-01,66
2015-04-01,96
2015-05-01,76
2015-06-01,79
2015-07-01,73
2015-08-01,80
2015-09-01,97
2015-10-01,71
2015-11-01,84
2015-12-01,100
2016-01-01,61
2016-02-01,56
2016-03-01,99
2016-04-01,64
2016-05-01,66
2016-06-01,75
2016-07-01,77
2016-08-01,58
2016-09-01,66
2016-10-01,54
2016-11-01,52
2016-12-01,57
2017-01-01,60
