date,incognito mode android
2011-01-01,5
2011-02-01,6
2011-03-01,7
2011-04-01,9
2011-05-01,13
2011-06-01,14
2011-07-01,4
2011-08-01,13
2011-09-01,20
2011-10-01,6
2011-11-01,18
2011-12-01,23
2012-01-01,11
2012-02-01,13
2012-03-01,19
2012-04-01,18
2012-05-01,18
2012-06-01,21
2012-07-01,22
2012-08-01,26
2012-09-01,27
2012-10-01,31
2012-11-01,53
2012-12-01,37
2013-01-01,51
2013-02-01,65
2013-03-01,51
2013-04-01,55
2013-05-01,36
2013-06-01,58
2013-07-01,48
2013-08-01,43
2013-09-01,73
2013-10-01,50
2013-11-01,44
2013-12-01,72
2014-01-01,56
2014-02-01,53
2014-03-01,55
2014-04-01,49
2014-05-01,56
2014-06-01,64
2014-07-01,62
2014-08-01,63
2014-09-01,61
2014-10-01,71
2014-11-01,65
2014-12-01,40
2015-01-01,62
2015-02-01,56
2015-03-01,57
2015-04-01,60
2015-05-01,67
2015-06-01,56
2015-07-01,64
2015-08-01,55
2015-09-01,58
2015-10-01,67
2015-11-01,70
2015-12-01,87
2016-01-01,63
2016-02-01,62
2016-03-01,69
2016-04-01,71
2016-05-01,66
2016-06-01,75
2016-07-01,78
2016-08-01,77
2016-09-01,77
2016-10-01,51
2016-11-01,91
2016-12-01,100
2017-01-01,92
