date,Instagram info,instagram privacy policy
2011-01-01,1,0
2011-02-01,0,0
2011-03-01,1,0
2011-04-01,1,0
2011-05-01,1,0
2011-06-01,1,1
2011-07-01,2,1
2011-08-01,2,0
2011-09-01,2,0
2011-10-01,1,1
2011-11-01,2,1
2011-12-01,3,1
2012-01-01,4,0
2012-02-01,8,1
2012-03-01,8,0
2012-04-01,18,1
2012-05-01,13,0
2012-06-01,13,0
2012-07-01,17,1
2012-08-01,17,0
2012-09-01,18,1
2012-10-01,19,1
2012-11-01,21,1
2012-12-01,28,32
2013-01-01,33,9
2013-02-01,29,4
2013-03-01,35,4
2013-04-01,44,3
2013-05-01,36,3
2013-06-01,34,1
2013-07-01,45,2
2013-08-01,42,2
2013-09-01,39,3
2013-10-01,38,4
2013-11-01,36,2
2013-12-01,45,8
2014-01-01,51,4
2014-02-01,47,1
2014-03-01,50,21
2014-04-01,54,3
2014-05-01,53,2
2014-06-01,54,3
2014-07-01,61,2
2014-08-01,58,2
2014-09-01,62,3
2014-10-01,62,2
2014-11-01,59,3
2014-12-01,61,4
2015-01-01,71,4
2015-02-01,67,2
2015-03-01,67,3
2015-04-01,67,2
2015-05-01,73,2
2015-06-01,67,1
2015-07-01,71,2
2015-08-01,73,2
2015-09-01,70,3
2015-10-01,73,2
2015-11-01,79,3
2015-12-01,75,3
2016-01-01,80,2
2016-02-01,83,5
2016-03-01,84,3
2016-04-01,86,3
2016-05-01,86,3
2016-06-01,90,6
2016-07-01,92,5
2016-08-01,92,4
2016-09-01,88,5
2016-10-01,90,3
2016-11-01,89,4
2016-12-01,89,3
2017-01-01,100,5
