date,Instagram TOS,instagram privacy policy
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,2,0
2011-06-01,2,2
2011-07-01,0,2
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,2
2011-11-01,0,2
2011-12-01,0,2
2012-01-01,2,0
2012-02-01,2,2
2012-03-01,2,1
2012-04-01,5,3
2012-05-01,3,1
2012-06-01,3,0
2012-07-01,3,2
2012-08-01,4,1
2012-09-01,3,4
2012-10-01,1,3
2012-11-01,3,3
2012-12-01,88,100
2013-01-01,12,30
2013-02-01,4,13
2013-03-01,3,13
2013-04-01,4,8
2013-05-01,6,8
2013-06-01,7,4
2013-07-01,5,6
2013-08-01,5,6
2013-09-01,3,10
2013-10-01,6,11
2013-11-01,5,6
2013-12-01,6,24
2014-01-01,6,13
2014-02-01,5,4
2014-03-01,8,65
2014-04-01,8,10
2014-05-01,7,7
2014-06-01,8,10
2014-07-01,11,8
2014-08-01,11,7
2014-09-01,7,8
2014-10-01,10,6
2014-11-01,6,8
2014-12-01,6,11
2015-01-01,13,12
2015-02-01,6,7
2015-03-01,8,10
2015-04-01,7,6
2015-05-01,7,6
2015-06-01,8,4
2015-07-01,11,6
2015-08-01,11,6
2015-09-01,9,9
2015-10-01,10,8
2015-11-01,14,11
2015-12-01,13,10
2016-01-01,13,8
2016-02-01,11,15
2016-03-01,10,11
2016-04-01,14,9
2016-05-01,11,8
2016-06-01,11,18
2016-07-01,9,15
2016-08-01,14,13
2016-09-01,16,15
2016-10-01,13,9
2016-11-01,12,14
2016-12-01,12,11
2017-01-01,16,15
