date,privacy settings on twitter,private twitter account
2011-01-01,2,9
2011-02-01,3,8
2011-03-01,2,14
2011-04-01,2,17
2011-05-01,5,22
2011-06-01,5,25
2011-07-01,4,22
2011-08-01,4,22
2011-09-01,4,22
2011-10-01,5,43
2011-11-01,6,50
2011-12-01,5,36
2012-01-01,4,26
2012-02-01,6,22
2012-03-01,9,25
2012-04-01,6,29
2012-05-01,5,37
2012-06-01,9,34
2012-07-01,8,46
2012-08-01,6,44
2012-09-01,26,41
2012-10-01,30,45
2012-11-01,21,43
2012-12-01,21,54
2013-01-01,21,58
2013-02-01,15,65
2013-03-01,17,64
2013-04-01,14,52
2013-05-01,16,68
2013-06-01,15,79
2013-07-01,17,93
2013-08-01,15,81
2013-09-01,14,73
2013-10-01,9,66
2013-11-01,9,70
2013-12-01,11,74
2014-01-01,12,84
2014-02-01,14,73
2014-03-01,10,100
2014-04-01,11,96
2014-05-01,9,71
2014-06-01,7,61
2014-07-01,12,70
2014-08-01,12,82
2014-09-01,9,73
2014-10-01,7,75
2014-11-01,9,64
2014-12-01,7,69
2015-01-01,8,65
2015-02-01,6,48
2015-03-01,6,49
2015-04-01,3,54
2015-05-01,5,49
2015-06-01,4,54
2015-07-01,5,59
2015-08-01,4,61
2015-09-01,3,57
2015-10-01,3,50
2015-11-01,4,58
2015-12-01,4,55
2016-01-01,3,58
2016-02-01,3,55
2016-03-01,3,58
2016-04-01,3,50
2016-05-01,2,46
2016-06-01,2,43
2016-07-01,2,48
2016-08-01,1,53
2016-09-01,2,39
2016-10-01,1,36
2016-11-01,3,37
2016-12-01,2,42
2017-01-01,1,53
