date,How to change privacy settings on twitter,private twitter account
2011-01-01,2,9
2011-02-01,2,8
2011-03-01,0,14
2011-04-01,2,17
2011-05-01,1,22
2011-06-01,2,25
2011-07-01,1,22
2011-08-01,1,22
2011-09-01,1,22
2011-10-01,1,43
2011-11-01,3,50
2011-12-01,3,36
2012-01-01,2,26
2012-02-01,1,22
2012-03-01,3,25
2012-04-01,2,29
2012-05-01,2,37
2012-06-01,2,34
2012-07-01,4,46
2012-08-01,3,44
2012-09-01,7,41
2012-10-01,12,45
2012-11-01,7,43
2012-12-01,7,54
2013-01-01,6,58
2013-02-01,7,65
2013-03-01,5,64
2013-04-01,5,52
2013-05-01,4,68
2013-06-01,4,79
2013-07-01,5,93
2013-08-01,4,81
2013-09-01,4,73
2013-10-01,3,66
2013-11-01,3,70
2013-12-01,6,74
2014-01-01,4,84
2014-02-01,3,73
2014-03-01,4,100
2014-04-01,3,96
2014-05-01,1,71
2014-06-01,2,61
2014-07-01,4,70
2014-08-01,4,82
2014-09-01,1,73
2014-10-01,1,75
2014-11-01,2,64
2014-12-01,3,69
2015-01-01,2,65
2015-02-01,1,48
2015-03-01,2,49
2015-04-01,1,54
2015-05-01,1,49
2015-06-01,1,54
2015-07-01,1,59
2015-08-01,1,61
2015-09-01,1,57
2015-10-01,1,50
2015-11-01,1,58
2015-12-01,1,55
2016-01-01,1,58
2016-02-01,1,55
2016-03-01,1,58
2016-04-01,0,50
2016-05-01,0,46
2016-06-01,1,43
2016-07-01,1,48
2016-08-01,1,53
2016-09-01,1,39
2016-10-01,1,36
2016-11-01,1,37
2016-12-01,1,42
2017-01-01,1,53
