date,twitter privacy settings,private twitter account
2011-01-01,6,9
2011-02-01,6,8
2011-03-01,3,14
2011-04-01,10,17
2011-05-01,13,22
2011-06-01,12,25
2011-07-01,18,22
2011-08-01,19,22
2011-09-01,14,22
2011-10-01,17,43
2011-11-01,21,50
2011-12-01,20,36
2012-01-01,17,26
2012-02-01,18,22
2012-03-01,22,25
2012-04-01,17,29
2012-05-01,19,37
2012-06-01,21,34
2012-07-01,23,46
2012-08-01,20,44
2012-09-01,42,41
2012-10-01,50,45
2012-11-01,36,43
2012-12-01,40,54
2013-01-01,41,58
2013-02-01,34,65
2013-03-01,27,64
2013-04-01,31,52
2013-05-01,32,68
2013-06-01,30,79
2013-07-01,32,93
2013-08-01,26,81
2013-09-01,28,73
2013-10-01,21,66
2013-11-01,23,70
2013-12-01,19,74
2014-01-01,28,84
2014-02-01,24,73
2014-03-01,24,100
2014-04-01,25,96
2014-05-01,22,71
2014-06-01,21,61
2014-07-01,25,70
2014-08-01,25,82
2014-09-01,19,73
2014-10-01,17,75
2014-11-01,25,64
2014-12-01,20,69
2015-01-01,17,65
2015-02-01,12,48
2015-03-01,13,49
2015-04-01,10,54
2015-05-01,10,49
2015-06-01,11,54
2015-07-01,11,59
2015-08-01,10,61
2015-09-01,9,57
2015-10-01,8,50
2015-11-01,12,58
2015-12-01,10,55
2016-01-01,7,58
2016-02-01,7,55
2016-03-01,8,58
2016-04-01,5,50
2016-05-01,5,46
2016-06-01,5,43
2016-07-01,4,48
2016-08-01,4,53
2016-09-01,6,39
2016-10-01,3,36
2016-11-01,6,37
2016-12-01,3,42
2017-01-01,5,53
