date,privacy twitter settings,private twitter account
2011-01-01,0,9
2011-02-01,0,8
2011-03-01,0,14
2011-04-01,0,17
2011-05-01,0,22
2011-06-01,0,25
2011-07-01,0,22
2011-08-01,0,22
2011-09-01,0,22
2011-10-01,0,43
2011-11-01,0,50
2011-12-01,0,36
2012-01-01,0,26
2012-02-01,0,22
2012-03-01,0,25
2012-04-01,0,29
2012-05-01,0,37
2012-06-01,0,34
2012-07-01,0,46
2012-08-01,0,44
2012-09-01,0,41
2012-10-01,0,45
2012-11-01,0,43
2012-12-01,0,54
2013-01-01,0,58
2013-02-01,0,65
2013-03-01,0,64
2013-04-01,0,52
2013-05-01,0,68
2013-06-01,0,79
2013-07-01,0,93
2013-08-01,0,81
2013-09-01,0,73
2013-10-01,0,66
2013-11-01,0,70
2013-12-01,0,74
2014-01-01,0,84
2014-02-01,0,73
2014-03-01,0,100
2014-04-01,0,96
2014-05-01,0,71
2014-06-01,0,61
2014-07-01,0,70
2014-08-01,0,82
2014-09-01,0,73
2014-10-01,0,75
2014-11-01,0,64
2014-12-01,0,69
2015-01-01,0,65
2015-02-01,0,48
2015-03-01,0,49
2015-04-01,0,54
2015-05-01,0,49
2015-06-01,0,54
2015-07-01,0,59
2015-08-01,0,61
2015-09-01,0,57
2015-10-01,0,50
2015-11-01,0,58
2015-12-01,0,55
2016-01-01,0,58
2016-02-01,0,55
2016-03-01,0,58
2016-04-01,0,50
2016-05-01,0,46
2016-06-01,0,43
2016-07-01,0,48
2016-08-01,0,53
2016-09-01,0,39
2016-10-01,0,36
2016-11-01,0,37
2016-12-01,0,42
2017-01-01,0,53
