date,safari incognito iphone
2011-01-01,19
2011-02-01,13
2011-03-01,12
2011-04-01,13
2011-05-01,12
2011-06-01,12
2011-07-01,30
2011-08-01,22
2011-09-01,11
2011-10-01,14
2011-11-01,28
2011-12-01,21
2012-01-01,14
2012-02-01,10
2012-03-01,9
2012-04-01,24
2012-05-01,9
2012-06-01,19
2012-07-01,22
2012-08-01,24
2012-09-01,48
2012-10-01,33
2012-11-01,25
2012-12-01,39
2013-01-01,30
2013-02-01,36
2013-03-01,45
2013-04-01,33
2013-05-01,32
2013-06-01,66
2013-07-01,47
2013-08-01,49
2013-09-01,63
2013-10-01,39
2013-11-01,40
2013-12-01,47
2014-01-01,26
2014-02-01,28
2014-03-01,26
2014-04-01,31
2014-05-01,42
2014-06-01,45
2014-07-01,48
2014-08-01,51
2014-09-01,58
2014-10-01,39
2014-11-01,56
2014-12-01,84
2015-01-01,60
2015-02-01,65
2015-03-01,63
2015-04-01,50
2015-05-01,43
2015-06-01,60
2015-07-01,80
2015-08-01,51
2015-09-01,70
2015-10-01,100
2015-11-01,60
2015-12-01,77
2016-01-01,57
2016-02-01,72
2016-03-01,50
2016-04-01,50
2016-05-01,69
2016-06-01,57
2016-07-01,69
2016-08-01,46
2016-09-01,67
2016-10-01,93
2016-11-01,87
2016-12-01,84
2017-01-01,66
