date,proxy sites list
2011-01-01,100
2011-02-01,96
2011-03-01,98
2011-04-01,82
2011-05-01,81
2011-06-01,65
2011-07-01,66
2011-08-01,60
2011-09-01,79
2011-10-01,73
2011-11-01,80
2011-12-01,69
2012-01-01,74
2012-02-01,85
2012-03-01,81
2012-04-01,78
2012-05-01,88
2012-06-01,82
2012-07-01,78
2012-08-01,77
2012-09-01,91
2012-10-01,95
2012-11-01,72
2012-12-01,67
2013-01-01,66
2013-02-01,71
2013-03-01,64
2013-04-01,64
2013-05-01,63
2013-06-01,53
2013-07-01,52
2013-08-01,55
2013-09-01,55
2013-10-01,49
2013-11-01,57
2013-12-01,51
2014-01-01,57
2014-02-01,60
2014-03-01,64
2014-04-01,60
2014-05-01,57
2014-06-01,50
2014-07-01,53
2014-08-01,67
2014-09-01,71
2014-10-01,58
2014-11-01,55
2014-12-01,62
2015-01-01,49
2015-02-01,47
2015-03-01,54
2015-04-01,50
2015-05-01,48
2015-06-01,41
2015-07-01,44
2015-08-01,56
2015-09-01,42
2015-10-01,39
2015-11-01,36
2015-12-01,39
2016-01-01,43
2016-02-01,38
2016-03-01,39
2016-04-01,41
2016-05-01,39
2016-06-01,34
2016-07-01,43
2016-08-01,46
2016-09-01,41
2016-10-01,36
2016-11-01,33
2016-12-01,31
2017-01-01,30
