date,proxy sites for youtube
2011-01-01,15
2011-02-01,16
2011-03-01,22
2011-04-01,14
2011-05-01,17
2011-06-01,10
2011-07-01,11
2011-08-01,11
2011-09-01,16
2011-10-01,12
2011-11-01,13
2011-12-01,16
2012-01-01,16
2012-02-01,16
2012-03-01,21
2012-04-01,21
2012-05-01,21
2012-06-01,13
2012-07-01,16
2012-08-01,17
2012-09-01,50
2012-10-01,100
2012-11-01,100
2012-12-01,56
2013-01-01,53
2013-02-01,77
2013-03-01,71
2013-04-01,44
2013-05-01,39
2013-06-01,41
2013-07-01,48
2013-08-01,47
2013-09-01,49
2013-10-01,44
2013-11-01,51
2013-12-01,45
2014-01-01,53
2014-02-01,56
2014-03-01,45
2014-04-01,39
2014-05-01,39
2014-06-01,39
2014-07-01,32
2014-08-01,40
2014-09-01,36
2014-10-01,39
2014-11-01,29
2014-12-01,33
2015-01-01,27
2015-02-01,23
2015-03-01,28
2015-04-01,29
2015-05-01,24
2015-06-01,17
2015-07-01,21
2015-08-01,20
2015-09-01,20
2015-10-01,21
2015-11-01,20
2015-12-01,21
2016-01-01,19
2016-02-01,16
2016-03-01,20
2016-04-01,22
2016-05-01,22
2016-06-01,21
2016-07-01,19
2016-08-01,17
2016-09-01,22
2016-10-01,19
2016-11-01,21
2016-12-01,17
2017-01-01,17
