date,incognito mode safari
2011-01-01,0
2011-02-01,9
2011-03-01,6
2011-04-01,6
2011-05-01,14
2011-06-01,15
2011-07-01,14
2011-08-01,11
2011-09-01,8
2011-10-01,5
2011-11-01,13
2011-12-01,13
2012-01-01,28
2012-02-01,17
2012-03-01,23
2012-04-01,12
2012-05-01,7
2012-06-01,21
2012-07-01,43
2012-08-01,56
2012-09-01,80
2012-10-01,51
2012-11-01,57
2012-12-01,45
2013-01-01,33
2013-02-01,28
2013-03-01,56
2013-04-01,37
2013-05-01,70
2013-06-01,69
2013-07-01,70
2013-08-01,97
2013-09-01,57
2013-10-01,60
2013-11-01,51
2013-12-01,70
2014-01-01,49
2014-02-01,66
2014-03-01,62
2014-04-01,71
2014-05-01,65
2014-06-01,89
2014-07-01,69
2014-08-01,71
2014-09-01,81
2014-10-01,100
2014-11-01,86
2014-12-01,63
2015-01-01,86
2015-02-01,95
2015-03-01,51
2015-04-01,100
2015-05-01,88
2015-06-01,76
2015-07-01,68
2015-08-01,62
2015-09-01,83
2015-10-01,89
2015-11-01,82
2015-12-01,67
2016-01-01,59
2016-02-01,79
2016-03-01,62
2016-04-01,88
2016-05-01,68
2016-06-01,71
2016-07-01,69
2016-08-01,84
2016-09-01,96
2016-10-01,91
2016-11-01,82
2016-12-01,64
2017-01-01,71
