date,how to go incognito on mac
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,9
2011-06-01,8
2011-07-01,8
2011-08-01,8
2011-09-01,8
2011-10-01,8
2011-11-01,8
2011-12-01,8
2012-01-01,7
2012-02-01,7
2012-03-01,7
2012-04-01,7
2012-05-01,7
2012-06-01,7
2012-07-01,14
2012-08-01,7
2012-09-01,6
2012-10-01,6
2012-11-01,6
2012-12-01,6
2013-01-01,6
2013-02-01,19
2013-03-01,17
2013-04-01,14
2013-05-01,16
2013-06-01,14
2013-07-01,14
2013-08-01,14
2013-09-01,11
2013-10-01,13
2013-11-01,8
2013-12-01,10
2014-01-01,17
2014-02-01,19
2014-03-01,12
2014-04-01,5
2014-05-01,35
2014-06-01,8
2014-07-01,19
2014-08-01,24
2014-09-01,23
2014-10-01,32
2014-11-01,43
2014-12-01,32
2015-01-01,42
2015-02-01,38
2015-03-01,41
2015-04-01,38
2015-05-01,32
2015-06-01,58
2015-07-01,48
2015-08-01,43
2015-09-01,65
2015-10-01,61
2015-11-01,50
2015-12-01,52
2016-01-01,43
2016-02-01,41
2016-03-01,42
2016-04-01,50
2016-05-01,89
2016-06-01,76
2016-07-01,85
2016-08-01,83
2016-09-01,96
2016-10-01,74
2016-11-01,97
2016-12-01,40
2017-01-01,100
