date,chrome incognito android
2011-01-01,8
2011-02-01,12
2011-03-01,9
2011-04-01,6
2011-05-01,7
2011-06-01,9
2011-07-01,8
2011-08-01,9
2011-09-01,6
2011-10-01,13
2011-11-01,11
2011-12-01,11
2012-01-01,9
2012-02-01,14
2012-03-01,14
2012-04-01,10
2012-05-01,21
2012-06-01,28
2012-07-01,44
2012-08-01,40
2012-09-01,25
2012-10-01,26
2012-11-01,41
2012-12-01,39
2013-01-01,37
2013-02-01,40
2013-03-01,40
2013-04-01,52
2013-05-01,41
2013-06-01,49
2013-07-01,53
2013-08-01,60
2013-09-01,56
2013-10-01,64
2013-11-01,58
2013-12-01,80
2014-01-01,91
2014-02-01,61
2014-03-01,74
2014-04-01,63
2014-05-01,77
2014-06-01,57
2014-07-01,100
2014-08-01,83
2014-09-01,98
2014-10-01,92
2014-11-01,79
2014-12-01,91
2015-01-01,82
2015-02-01,59
2015-03-01,63
2015-04-01,51
2015-05-01,70
2015-06-01,61
2015-07-01,69
2015-08-01,82
2015-09-01,70
2015-10-01,67
2015-11-01,69
2015-12-01,77
2016-01-01,67
2016-02-01,61
2016-03-01,65
2016-04-01,71
2016-05-01,77
2016-06-01,81
2016-07-01,87
2016-08-01,83
2016-09-01,83
2016-10-01,58
2016-11-01,78
2016-12-01,93
2017-01-01,90
