date,anonymous surfing online
2011-01-01,100
2011-02-01,53
2011-03-01,99
2011-04-01,73
2011-05-01,58
2011-06-01,76
2011-07-01,96
2011-08-01,86
2011-09-01,84
2011-10-01,89
2011-11-01,61
2011-12-01,69
2012-01-01,68
2012-02-01,62
2012-03-01,54
2012-04-01,74
2012-05-01,82
2012-06-01,46
2012-07-01,75
2012-08-01,91
2012-09-01,73
2012-10-01,30
2012-11-01,53
2012-12-01,56
2013-01-01,41
2013-02-01,41
2013-03-01,84
2013-04-01,51
2013-05-01,46
2013-06-01,51
2013-07-01,50
2013-08-01,53
2013-09-01,75
2013-10-01,31
2013-11-01,28
2013-12-01,54
2014-01-01,21
2014-02-01,45
2014-03-01,35
2014-04-01,48
2014-05-01,27
2014-06-01,81
2014-07-01,62
2014-08-01,75
2014-09-01,56
2014-10-01,33
2014-11-01,24
2014-12-01,41
2015-01-01,33
2015-02-01,33
2015-03-01,36
2015-04-01,45
2015-05-01,30
2015-06-01,31
2015-07-01,31
2015-08-01,46
2015-09-01,30
2015-10-01,31
2015-11-01,36
2015-12-01,32
2016-01-01,25
2016-02-01,25
2016-03-01,33
2016-04-01,27
2016-05-01,28
2016-06-01,29
2016-07-01,22
2016-08-01,24
2016-09-01,19
2016-10-01,34
2016-11-01,23
2016-12-01,14
2017-01-01,26
