date,incognito mode firefox
2011-01-01,20
2011-02-01,24
2011-03-01,15
2011-04-01,25
2011-05-01,39
2011-06-01,22
2011-07-01,19
2011-08-01,18
2011-09-01,16
2011-10-01,25
2011-11-01,15
2011-12-01,45
2012-01-01,40
2012-02-01,42
2012-03-01,29
2012-04-01,37
2012-05-01,34
2012-06-01,51
2012-07-01,47
2012-08-01,60
2012-09-01,70
2012-10-01,69
2012-11-01,89
2012-12-01,82
2013-01-01,87
2013-02-01,70
2013-03-01,76
2013-04-01,90
2013-05-01,83
2013-06-01,88
2013-07-01,85
2013-08-01,78
2013-09-01,76
2013-10-01,89
2013-11-01,100
2013-12-01,74
2014-01-01,82
2014-02-01,78
2014-03-01,96
2014-04-01,69
2014-05-01,69
2014-06-01,53
2014-07-01,72
2014-08-01,83
2014-09-01,43
2014-10-01,63
2014-11-01,58
2014-12-01,64
2015-01-01,64
2015-02-01,56
2015-03-01,58
2015-04-01,57
2015-05-01,41
2015-06-01,40
2015-07-01,54
2015-08-01,43
2015-09-01,37
2015-10-01,44
2015-11-01,41
2015-12-01,47
2016-01-01,40
2016-02-01,31
2016-03-01,47
2016-04-01,38
2016-05-01,39
2016-06-01,35
2016-07-01,27
2016-08-01,41
2016-09-01,49
2016-10-01,43
2016-11-01,44
2016-12-01,43
2017-01-01,45
