date,incognito chrome
2011-01-01,35
2011-02-01,38
2011-03-01,39
2011-04-01,35
2011-05-01,43
2011-06-01,42
2011-07-01,43
2011-08-01,51
2011-09-01,43
2011-10-01,51
2011-11-01,50
2011-12-01,51
2012-01-01,53
2012-02-01,60
2012-03-01,62
2012-04-01,59
2012-05-01,67
2012-06-01,65
2012-07-01,72
2012-08-01,80
2012-09-01,72
2012-10-01,73
2012-11-01,66
2012-12-01,69
2013-01-01,70
2013-02-01,67
2013-03-01,70
2013-04-01,83
2013-05-01,81
2013-06-01,88
2013-07-01,91
2013-08-01,86
2013-09-01,83
2013-10-01,83
2013-11-01,88
2013-12-01,85
2014-01-01,96
2014-02-01,96
2014-03-01,85
2014-04-01,83
2014-05-01,79
2014-06-01,81
2014-07-01,91
2014-08-01,89
2014-09-01,88
2014-10-01,88
2014-11-01,80
2014-12-01,84
2015-01-01,100
2015-02-01,83
2015-03-01,79
2015-04-01,78
2015-05-01,74
2015-06-01,80
2015-07-01,82
2015-08-01,87
2015-09-01,86
2015-10-01,78
2015-11-01,71
2015-12-01,77
2016-01-01,77
2016-02-01,72
2016-03-01,73
2016-04-01,74
2016-05-01,77
2016-06-01,75
2016-07-01,76
2016-08-01,78
2016-09-01,92
2016-10-01,78
2016-11-01,83
2016-12-01,92
2017-01-01,88
