date,how to delete a youtube account,how to delete a youtube channel 2016,how to delete youtube account 2016,how to delete youtube account on android,how to delete youtube account on ipad,how to delete youtube account on iphone,how to delete youtube account on phone,how to delete youtube app,how to delete youtube channel on phone,how to delete youtube channel,how to delete youtube video,remove youtube from iphone
2011-01-01,41,0,0,0,0,0,0,8,0,11,77,9
2011-02-01,34,0,0,0,1,1,1,8,0,9,81,6
2011-03-01,43,0,0,1,1,2,2,6,0,11,110,6
2011-04-01,42,0,0,1,1,2,1,6,0,8,99,6
2011-05-01,40,0,0,2,1,1,1,7,0,14,97,4
2011-06-01,56,0,0,2,2,2,1,7,0,13,165,7
2011-07-01,65,0,0,2,1,2,1,9,0,15,169,10
2011-08-01,56,0,0,2,1,2,1,12,0,16,177,9
2011-09-01,66,0,0,2,1,1,1,7,0,15,132,9
2011-10-01,54,0,0,2,1,2,2,6,0,22,134,16
2011-11-01,64,0,0,1,1,2,1,11,0,20,163,8
2011-12-01,76,0,0,1,1,1,1,16,0,24,197,15
2012-01-01,62,0,0,2,3,4,1,11,0,21,173,11
2012-02-01,54,0,0,2,1,2,1,10,1,18,146,11
2012-03-01,56,0,0,1,1,3,1,10,1,20,144,11
2012-04-01,72,0,0,1,1,3,1,13,1,27,140,13
2012-05-01,69,0,0,1,2,1,3,11,1,24,126,8
2012-06-01,90,0,0,3,2,2,2,11,1,23,126,12
2012-07-01,95,0,0,2,2,1,1,14,1,26,155,11
2012-08-01,91,0,0,2,3,2,1,14,1,27,153,15
2012-09-01,69,0,0,2,2,3,2,39,1,26,128,16
2012-10-01,56,0,0,2,1,1,1,37,1,24,142,16
2012-11-01,70,0,0,1,3,3,2,30,1,27,130,9
2012-12-01,76,0,0,2,2,3,2,39,2,30,140,14
2013-01-01,82,0,0,2,2,3,1,35,2,30,136,10
2013-02-01,88,0,0,2,4,5,3,32,2,27,136,13
2013-03-01,81,0,0,2,2,4,3,27,1,28,132,11
2013-04-01,76,0,0,2,4,3,2,26,1,33,132,13
2013-05-01,77,0,0,5,4,3,3,28,1,36,134,9
2013-06-01,83,0,0,3,3,3,3,30,2,42,144,9
2013-07-01,100,0,0,3,4,5,3,33,2,52,142,11
2013-08-01,96,0,0,4,3,6,5,38,1,64,104,9
2013-09-01,75,0,0,2,3,3,3,35,1,66,99,14
2013-10-01,63,0,0,2,2,3,2,23,1,53,87,15
2013-11-01,66,0,0,2,2,2,2,26,1,50,89,11
2013-12-01,69,0,0,2,4,3,2,34,1,54,99,14
2014-01-01,80,0,0,2,2,2,2,39,1,70,97,14
2014-02-01,66,0,0,2,2,2,2,24,1,59,108,13
2014-03-01,69,0,0,1,3,3,2,28,1,73,93,12
2014-04-01,67,0,0,3,1,3,2,29,1,65,97,13
2014-05-01,63,0,0,2,2,3,2,29,1,61,95,10
2014-06-01,65,0,0,2,3,3,2,30,1,58,99,11
2014-07-01,78,0,0,2,4,4,3,33,1,88,122,15
2014-08-01,80,0,0,4,5,6,4,39,1,82,124,19
2014-09-01,56,0,0,4,4,4,2,32,1,64,108,19
2014-10-01,54,0,0,1,2,3,1,32,1,61,114,16
2014-11-01,58,0,0,2,2,4,3,28,1,55,114,21
2014-12-01,58,0,0,2,3,2,2,30,1,64,128,20
2015-01-01,63,0,1,2,3,4,2,30,2,65,124,18
2015-02-01,47,0,1,2,2,3,2,22,1,64,114,13
2015-03-01,60,0,1,3,1,4,2,25,1,64,114,17
2015-04-01,51,0,1,1,2,1,2,22,1,61,116,18
2015-05-01,58,0,1,3,2,4,3,24,1,57,124,20
2015-06-01,63,0,1,3,2,3,2,26,1,71,116,16
2015-07-01,54,0,1,4,2,7,4,34,1,74,126,21
2015-08-01,59,0,1,2,2,4,2,32,1,77,118,17
2015-09-01,40,0,1,2,2,2,3,27,2,63,114,18
2015-10-01,42,1,1,3,2,4,3,29,2,69,108,15
2015-11-01,45,1,1,2,1,2,3,28,2,60,106,15
2015-12-01,51,1,1,2,2,4,2,33,1,74,122,13
2016-01-01,58,1,3,3,2,3,5,30,1,83,114,14
2016-02-01,47,1,3,2,2,2,3,28,2,60,104,10
2016-03-01,46,1,3,2,4,2,3,20,1,60,102,13
2016-04-01,40,2,5,2,2,3,3,22,1,57,99,10
2016-05-01,46,2,6,2,1,3,4,21,1,63,108,11
2016-06-01,48,2,6,3,2,4,5,22,2,77,102,13
2016-07-01,59,3,5,2,2,3,5,31,1,77,106,17
2016-08-01,45,2,7,3,1,3,6,29,2,72,114,14
2016-09-01,42,2,4,2,1,4,3,21,3,70,100,17
2016-10-01,42,3,4,3,1,2,5,26,2,72,95,18
2016-11-01,40,3,4,2,2,4,5,30,1,73,99,14
2016-12-01,52,2,5,6,2,3,6,30,3,84,110,17
2017-01-01,48,0,4,4,2,6,5,25,5,103,120,16
