date,overall,app_priv,comm_priv,del_app,del_soc_acc,ser_anon,soc_med_sett,web_anon
1/1/11,47,48,21,50,42,35,52,40
2/1/11,45,67,26,46,43,33,51,42
3/1/11,44,75,26,43,44,33,50,45
4/1/11,46,84,24,46,45,35,53,36
5/1/11,49,75,26,47,50,36,55,40
6/1/11,53,77,25,52,53,42,57,43
7/1/11,58,69,28,58,57,44,62,42
8/1/11,61,84,29,61,60,45,64,42
9/1/11,59,69,30,58,57,45,77,49
10/1/11,58,98,30,59,55,46,71,47
11/1/11,59,86,31,61,54,46,69,48
12/1/11,62,81,28,64,56,47,71,45
1/1/12,64,84,30,66,59,53,69,55
2/1/12,62,84,33,63,58,52,71,56
3/1/12,61,80,32,63,56,53,67,56
4/1/12,61,89,34,63,58,52,67,50
5/1/12,61,75,36,61,60,53,65,52
6/1/12,65,79,37,64,63,54,74,50
7/1/12,66,81,38,67,65,54,67,56
8/1/12,69,67,43,69,66,57,76,58
9/1/12,66,82,41,66,63,60,82,55
10/1/12,64,74,40,63,62,60,79,57
11/1/12,62,66,40,61,61,58,76,50
12/1/12,70,60,43,70,66,64,78,53
1/1/13,69,70,43,70,66,65,72,54
2/1/13,69,68,47,70,66,62,73,57
3/1/13,67,73,47,66,66,64,74,51
4/1/13,67,70,48,66,66,68,72,56
5/1/13,66,68,49,66,65,65,71,58
6/1/13,70,93,53,70,68,71,71,60
7/1/13,73,66,58,72,71,75,75,59
8/1/13,72,80,57,73,70,73,73,62
9/1/13,68,73,55,68,65,90,73,66
10/1/13,68,86,57,66,65,86,76,61
11/1/13,68,91,59,67,65,83,72,65
12/1/13,73,86,62,73,69,91,70,74
1/1/14,77,81,62,78,74,91,71,68
2/1/14,73,82,68,74,70,84,71,73
3/1/14,73,87,67,73,70,85,71,69
4/1/14,74,94,67,73,71,81,79,67
5/1/14,74,79,65,72,73,88,76,67
6/1/14,75,75,66,76,71,86,72,74
7/1/14,78,58,68,79,72,92,75,83
8/1/14,80,65,68,82,75,97,80,91
9/1/14,78,60,72,76,75,100,79,90
10/1/14,72,75,71,73,68,96,72,87
11/1/14,72,74,75,73,67,88,72,86
12/1/14,76,67,73,76,72,88,72,84
1/1/15,79,59,73,79,76,85,82,85
2/1/15,74,75,79,74,71,79,71,83
3/1/15,73,72,82,73,70,80,72,80
4/1/15,74,81,81,72,73,82,74,85
5/1/15,73,72,74,72,70,78,71,80
6/1/15,77,63,76,78,74,83,73,77
7/1/15,83,61,80,84,78,87,75,83
8/1/15,84,69,80,85,79,97,79,95
9/1/15,82,62,80,80,81,91,84,92
10/1/15,76,65,77,76,74,87,74,93
11/1/15,75,79,79,74,73,90,72,91
12/1/15,80,65,80,80,77,94,73,93
1/1/16,83,67,79,85,79,91,75,92
2/1/16,80,77,77,81,76,84,74,89
3/1/16,79,66,78,79,76,80,77,89
4/1/16,83,78,100,80,83,83,81,89
5/1/16,84,70,80,81,84,84,81,83
6/1/16,91,58,77,91,89,81,88,81
7/1/16,98,57,77,99,95,87,91,91
8/1/16,93,67,87,93,91,85,84,100
9/1/16,90,66,89,89,88,90,84,95
10/1/16,92,80,83,91,89,85,100,94
11/1/16,94,100,83,94,94,87,85,97
12/1/16,97,62,82,97,97,85,83,97
1/1/17,100,64,84,100,100,88,86,98
