date,best social media monitoring tools,computer and network surveillance,detekt download,digimind social,digital stakeout,digitalstakeout,geofeedia pricing,government internet surveillance,government monitoring cell phones,government monitoring social media,government spying on citizens,government surveillance articles,government surveillance pros and cons,human rights and media,media sonar,nsa spying on citizens,role of media in reporting human rights violations in a responsible manner,role of media in reporting human rights violations,social listening platforms,social listening tools comparison,social media and human right violation,social media and human rights violation,social media and human rights violations,social media monitoring companies,social media monitoring definition,social media monitoring software,social media monitoring tools comparison,what role do the media have in reporting human rights violations
2011-01-01,0,0,34,37,0,0,0,38,0,37,32,0,0,284,245,0,0,0,75,0,0,0,0,50,33,152,38,0
2011-02-01,60,39,34,35,0,40,0,60,0,40,32,40,0,467,334,0,0,0,79,0,0,0,0,60,35,120,39,0
2011-03-01,71,38,34,35,71,72,0,60,36,35,53,36,0,334,278,0,0,0,48,0,0,0,0,71,32,169,38,0
2011-04-01,127,38,34,36,37,39,0,115,34,38,32,77,0,484,262,0,0,0,76,0,0,0,38,50,32,179,38,0
2011-05-01,84,0,67,36,37,36,0,83,34,54,27,36,36,567,278,0,0,0,37,0,0,0,34,54,32,169,54,0
2011-06-01,50,0,0,36,37,35,0,55,34,37,0,41,34,267,356,0,0,0,37,0,0,0,34,37,32,198,73,0
2011-07-01,49,0,0,34,34,35,0,55,34,44,0,47,34,251,189,0,0,0,36,0,0,0,34,55,32,244,48,0
2011-08-01,103,0,0,34,34,35,0,46,34,50,0,51,34,217,345,0,0,0,46,0,0,34,34,85,30,174,57,0
2011-09-01,68,0,0,41,32,34,0,46,32,57,0,33,34,501,217,34,0,0,78,0,0,33,31,67,30,100,67,0
2011-10-01,75,0,0,49,32,31,0,112,32,64,0,33,33,384,556,34,0,0,42,0,0,31,31,80,28,161,32,0
2011-11-01,54,0,34,56,32,33,0,118,30,48,37,31,33,600,373,34,0,0,53,0,0,31,31,117,84,140,32,0
2011-12-01,52,31,34,63,94,31,0,95,30,31,22,31,31,284,345,34,0,0,31,0,0,31,31,95,42,96,31,0
2012-01-01,78,35,34,30,29,43,0,98,30,29,22,58,30,384,384,34,0,0,29,0,0,0,29,59,64,196,39,0
2012-02-01,40,39,34,30,30,120,0,120,30,50,69,30,30,434,384,50,0,0,30,0,0,0,0,80,66,152,30,0
2012-03-01,57,43,34,29,28,29,0,106,29,29,90,29,58,467,434,50,0,0,43,0,0,0,0,44,51,125,57,0
2012-04-01,103,59,34,29,28,30,0,118,29,30,90,60,30,334,350,84,0,0,88,0,0,0,0,78,52,179,49,0
2012-05-01,83,29,34,0,28,55,0,75,27,36,53,41,27,384,345,34,0,0,41,27,0,0,0,73,49,147,27,0
2012-06-01,68,29,34,0,28,28,0,78,28,43,43,29,29,367,417,34,0,0,29,28,0,0,0,67,38,164,57,0
2012-07-01,75,28,67,0,28,28,0,66,28,85,43,29,38,367,384,50,0,0,28,28,0,0,0,94,25,152,56,0
2012-08-01,47,28,67,0,28,55,0,43,28,42,22,29,47,267,289,50,0,0,28,28,0,0,0,97,37,122,42,0
2012-09-01,56,25,34,0,33,25,0,66,55,28,32,29,56,317,423,50,0,0,28,28,0,0,0,64,49,186,55,0
2012-10-01,76,25,34,0,38,25,0,78,38,25,48,26,0,384,345,17,0,0,51,25,0,0,0,100,45,154,38,0
2012-11-01,93,25,34,25,25,25,0,69,25,25,48,26,0,334,317,17,0,0,38,25,0,0,0,50,56,127,34,0
2012-12-01,60,25,34,23,25,25,0,60,25,25,90,26,0,367,278,100,0,0,42,25,0,0,0,60,34,120,23,0
2013-01-01,84,25,34,23,23,25,0,46,23,38,43,33,0,284,350,17,0,0,61,23,0,23,0,84,41,108,23,0
2013-02-01,51,26,0,23,45,25,0,86,29,77,43,39,0,367,234,17,0,0,38,23,0,0,26,64,57,154,26,0
2013-03-01,98,34,0,23,67,46,0,60,34,23,27,46,34,467,323,17,0,0,45,23,0,0,0,23,60,122,34,0
2013-04-01,59,23,0,23,35,23,0,118,46,31,37,62,24,384,256,17,0,0,39,23,0,0,0,62,82,71,92,0
2013-05-01,56,22,0,23,23,23,0,98,57,34,106,34,24,534,306,50,0,0,67,22,0,0,0,53,40,98,23,0
2013-06-01,70,46,0,23,23,22,0,286,69,100,527,47,35,367,367,1667,0,0,23,23,0,0,0,31,31,125,23,0
2013-07-01,54,45,0,23,26,22,23,138,23,45,237,23,24,251,300,534,0,0,34,23,0,0,0,38,40,76,22,0
2013-08-01,68,31,0,22,30,22,0,120,22,45,174,46,22,267,378,267,0,0,52,22,0,0,0,67,20,166,22,0
2013-09-01,45,31,0,43,33,22,0,75,29,22,179,44,81,184,350,167,0,0,22,22,0,0,0,59,29,113,44,0
2013-10-01,64,31,34,63,21,42,0,169,21,42,227,74,49,350,456,334,0,0,21,21,0,0,0,42,37,64,42,0
2013-11-01,64,21,34,43,21,22,0,209,32,57,222,57,129,451,362,400,0,0,32,21,0,21,0,75,28,86,42,0
2013-12-01,32,42,34,21,26,22,0,106,64,71,164,50,29,384,473,367,0,0,42,31,0,20,21,56,28,86,21,0
2014-01-01,113,20,34,20,30,30,0,80,20,33,148,67,40,284,395,300,0,0,54,40,0,20,0,80,53,81,30,0
2014-02-01,108,22,34,65,22,43,0,103,22,29,153,29,74,334,395,234,0,0,65,22,0,20,0,50,38,66,29,0
2014-03-01,40,19,34,45,58,20,0,132,20,20,127,130,40,384,428,200,0,0,26,20,0,20,0,66,34,113,29,0
2014-04-01,90,47,34,40,20,30,0,155,20,34,100,141,61,384,478,167,0,0,27,20,0,20,0,47,27,76,20,0
2014-05-01,61,61,34,34,21,41,0,123,20,34,85,75,42,567,345,234,0,0,34,20,20,20,0,68,18,61,33,0
2014-06-01,46,23,34,30,23,23,23,55,21,30,79,23,45,384,362,84,0,0,38,21,69,0,0,76,40,115,45,0
2014-07-01,66,22,34,44,22,23,0,66,21,44,79,23,22,317,256,150,0,0,22,22,0,0,0,52,68,74,44,0
2014-08-01,45,22,867,44,67,23,0,66,22,22,32,23,22,317,317,100,0,0,44,22,0,0,0,59,29,91,33,0
2014-09-01,28,21,1667,63,32,22,0,43,21,35,106,29,85,284,239,117,0,0,35,21,0,0,0,35,28,100,37,0
2014-10-01,54,20,2500,27,20,41,0,95,20,47,127,51,42,350,367,67,0,0,61,21,0,0,0,54,36,96,40,0
