date,overall,overall_s,app_priv,comm_priv,del_app,del_soc_acc,rm_soc_conn,ser_anon,soc_med_sett,web_anon
1/1/11,61,48,18,28,60,25,63,68,42,65
2/1/11,58,46,21,28,56,25,58,59,40,59
3/1/11,55,46,22,29,55,26,53,55,39,58
4/1/11,56,46,23,28,58,27,56,43,38,57
5/1/11,57,47,22,27,59,30,56,66,40,58
6/1/11,61,51,21,28,65,35,59,52,44,65
7/1/11,65,55,25,37,73,41,63,76,40,68
8/1/11,69,59,22,29,80,42,66,53,54,60
9/1/11,80,77,27,33,78,42,70,65,93,61
10/1/11,76,68,25,30,77,43,71,53,76,59
11/1/11,75,66,26,31,80,49,69,49,68,63
12/1/11,82,70,22,35,93,51,79,58,67,63
1/1/12,87,72,36,33,93,53,86,75,65,69
2/1/12,90,75,64,31,91,49,88,78,65,69
3/1/12,84,70,53,33,90,48,81,63,57,71
4/1/12,85,67,29,35,88,53,86,55,59,64
5/1/12,85,64,26,32,82,52,88,61,60,60
6/1/12,93,69,23,32,85,59,97,71,69,66
7/1/12,93,64,20,33,88,63,100,80,56,68
8/1/12,98,75,26,32,94,67,100,68,76,70
9/1/12,99,85,30,36,90,59,95,82,100,65
10/1/12,97,81,30,35,82,57,94,65,97,68
11/1/12,87,74,30,36,79,61,83,51,81,63
12/1/12,83,77,30,35,90,69,75,62,80,67
1/1/13,83,73,23,37,88,73,77,50,73,67
2/1/13,82,74,31,40,85,72,75,72,71,63
3/1/13,83,75,30,38,81,66,76,69,78,68
4/1/13,80,66,26,37,79,65,78,75,60,67
5/1/13,77,66,24,41,76,68,73,57,60,68
6/1/13,79,73,30,53,79,75,71,94,61,77
7/1/13,85,76,27,50,82,76,78,93,71,80
8/1/13,82,75,38,51,81,78,75,84,62,85
9/1/13,75,70,28,46,76,73,67,85,64,72
10/1/13,78,78,36,47,76,68,65,73,80,75
11/1/13,71,67,32,48,73,64,62,72,55,86
12/1/13,77,67,33,45,79,70,73,82,51,84
1/1/14,84,73,36,47,86,82,80,79,56,88
2/1/14,79,70,34,52,81,81,73,75,52,80
3/1/14,80,68,33,50,79,77,77,71,51,83
4/1/14,83,67,37,44,79,70,82,65,53,79
5/1/14,83,71,39,48,87,72,80,60,55,72
6/1/14,83,72,40,46,83,78,79,79,56,82
7/1/14,87,72,34,48,86,86,84,96,54,88
8/1/14,89,77,37,53,90,84,83,79,61,87
9/1/14,82,73,40,50,83,76,77,76,56,85
10/1/14,79,71,43,49,78,73,73,100,53,91
11/1/14,81,75,66,53,78,76,73,79,52,87
12/1/14,83,74,52,49,82,81,76,74,54,94
1/1/15,89,82,47,55,85,87,80,81,69,96
2/1/15,79,73,47,60,79,78,72,73,49,84
3/1/15,77,70,43,57,77,77,71,75,49,77
4/1/15,80,73,51,56,78,79,72,72,51,86
5/1/15,82,73,53,53,79,77,75,69,50,87
6/1/15,87,77,70,52,82,83,81,84,52,82
7/1/15,90,81,65,57,89,92,83,84,52,93
8/1/15,87,80,61,62,87,89,78,67,52,99
9/1/15,89,90,63,62,81,81,74,86,82,82
10/1/15,80,74,59,57,77,77,72,79,50,90
11/1/15,78,73,59,59,76,75,70,86,46,91
12/1/15,81,74,56,59,79,80,73,100,47,90
1/1/16,84,76,61,55,85,86,77,72,48,91
2/1/16,81,75,64,59,79,79,73,77,46,87
3/1/16,80,74,53,62,79,79,72,86,47,92
4/1/16,85,85,65,100,80,78,72,74,46,87
5/1/16,82,76,63,66,80,79,73,67,45,84
6/1/16,92,85,68,59,89,92,83,74,62,95
7/1/16,100,94,100,59,100,100,89,74,61,92
8/1/16,90,84,85,62,92,92,80,87,48,88
9/1/16,87,82,75,64,85,83,76,76,52,90
10/1/16,96,100,81,61,84,83,77,77,97,90
11/1/16,95,83,80,65,87,88,89,76,48,90
12/1/16,88,82,83,59,88,94,78,80,48,90
1/1/17,97,89,87,66,93,98,88,91,52,100
