date,privacy setting on facebook
2011-01-01,52
2011-02-01,46
2011-03-01,29
2011-04-01,47
2011-05-01,28
2011-06-01,34
2011-07-01,63
2011-08-01,40
2011-09-01,100
2011-10-01,60
2011-11-01,74
2011-12-01,63
2012-01-01,48
2012-02-01,53
2012-03-01,49
2012-04-01,50
2012-05-01,61
2012-06-01,53
2012-07-01,61
2012-08-01,77
2012-09-01,87
2012-10-01,98
2012-11-01,71
2012-12-01,67
2013-01-01,74
2013-02-01,51
2013-03-01,76
2013-04-01,61
2013-05-01,52
2013-06-01,61
2013-07-01,49
2013-08-01,61
2013-09-01,57
2013-10-01,54
2013-11-01,47
2013-12-01,50
2014-01-01,47
2014-02-01,50
2014-03-01,39
2014-04-01,59
2014-05-01,34
2014-06-01,50
2014-07-01,39
2014-08-01,53
2014-09-01,45
2014-10-01,38
2014-11-01,37
2014-12-01,38
2015-01-01,47
2015-02-01,42
2015-03-01,40
2015-04-01,34
2015-05-01,36
2015-06-01,40
2015-07-01,37
2015-08-01,31
2015-09-01,43
2015-10-01,37
2015-11-01,31
2015-12-01,26
2016-01-01,32
2016-02-01,36
2016-03-01,32
2016-04-01,22
2016-05-01,27
2016-06-01,36
2016-07-01,30
2016-08-01,32
2016-09-01,35
2016-10-01,33
2016-11-01,27
2016-12-01,35
2017-01-01,33
