date,online proxy browser,best anonymous browser
2011-01-01,41,4
2011-02-01,36,7
2011-03-01,47,5
2011-04-01,35,7
2011-05-01,39,9
2011-06-01,35,8
2011-07-01,33,6
2011-08-01,42,4
2011-09-01,56,3
2011-10-01,44,6
2011-11-01,55,6
2011-12-01,44,4
2012-01-01,49,8
2012-02-01,54,5
2012-03-01,47,6
2012-04-01,54,3
2012-05-01,69,5
2012-06-01,62,8
2012-07-01,66,5
2012-08-01,67,8
2012-09-01,60,4
2012-10-01,67,10
2012-11-01,66,9
2012-12-01,66,4
2013-01-01,50,9
2013-02-01,70,7
2013-03-01,62,8
2013-04-01,64,9
2013-05-01,78,9
2013-06-01,66,10
2013-07-01,60,7
2013-08-01,60,12
2013-09-01,60,10
2013-10-01,65,10
2013-11-01,66,9
2013-12-01,55,11
2014-01-01,69,13
2014-02-01,74,9
2014-03-01,67,9
2014-04-01,66,6
2014-05-01,59,9
2014-06-01,68,8
2014-07-01,91,7
2014-08-01,97,10
2014-09-01,100,11
2014-10-01,93,9
2014-11-01,79,10
2014-12-01,90,11
2015-01-01,76,10
2015-02-01,73,7
2015-03-01,73,11
2015-04-01,60,9
2015-05-01,57,7
2015-06-01,70,9
2015-07-01,67,12
2015-08-01,70,17
2015-09-01,62,11
2015-10-01,61,12
2015-11-01,82,12
2015-12-01,67,9
2016-01-01,78,12
2016-02-01,52,9
2016-03-01,59,10
2016-04-01,60,12
2016-05-01,58,7
2016-06-01,55,11
2016-07-01,64,10
2016-08-01,70,10
2016-09-01,59,8
2016-10-01,65,8
2016-11-01,56,9
2016-12-01,65,8
2017-01-01,54,11
