date,private browsing safari ipad,best anonymous browser
2011-01-01,11,3
2011-02-01,13,4
2011-03-01,13,3
2011-04-01,20,5
2011-05-01,19,4
2011-06-01,17,8
2011-07-01,25,3
2011-08-01,20,3
2011-09-01,23,2
2011-10-01,32,2
2011-11-01,25,4
2011-12-01,42,1
2012-01-01,36,4
2012-02-01,23,3
2012-03-01,38,3
2012-04-01,35,1
2012-05-01,34,3
2012-06-01,29,6
2012-07-01,27,3
2012-08-01,31,6
2012-09-01,29,2
2012-10-01,18,6
2012-11-01,21,5
2012-12-01,38,3
2013-01-01,32,4
2013-02-01,32,4
2013-03-01,18,5
2013-04-01,31,6
2013-05-01,29,5
2013-06-01,33,4
2013-07-01,27,4
2013-08-01,21,8
2013-09-01,88,8
2013-10-01,92,6
2013-11-01,75,4
2013-12-01,100,5
2014-01-01,73,7
2014-02-01,59,6
2014-03-01,52,6
2014-04-01,45,2
2014-05-01,46,6
2014-06-01,44,5
2014-07-01,46,4
2014-08-01,46,4
2014-09-01,61,7
2014-10-01,60,6
2014-11-01,38,4
2014-12-01,37,5
2015-01-01,28,6
2015-02-01,29,3
2015-03-01,24,6
2015-04-01,27,7
2015-05-01,26,4
2015-06-01,16,5
2015-07-01,21,6
2015-08-01,23,10
2015-09-01,21,6
2015-10-01,18,7
2015-11-01,16,7
2015-12-01,17,4
2016-01-01,14,7
2016-02-01,17,6
2016-03-01,16,5
2016-04-01,12,6
2016-05-01,12,3
2016-06-01,14,6
2016-07-01,12,7
2016-08-01,15,6
2016-09-01,9,5
2016-10-01,15,5
2016-11-01,14,4
2016-12-01,10,4
2017-01-01,13,5
