date,anonymox for android,best anonymous browser
2011-01-01,0,6
2011-02-01,0,10
2011-03-01,0,8
2011-04-01,0,11
2011-05-01,0,13
2011-06-01,0,12
2011-07-01,0,9
2011-08-01,0,5
2011-09-01,0,4
2011-10-01,0,9
2011-11-01,0,9
2011-12-01,0,6
2012-01-01,0,12
2012-02-01,0,6
2012-03-01,0,9
2012-04-01,0,4
2012-05-01,0,8
2012-06-01,0,11
2012-07-01,3,7
2012-08-01,3,12
2012-09-01,3,5
2012-10-01,2,14
2012-11-01,2,12
2012-12-01,4,6
2013-01-01,4,12
2013-02-01,4,10
2013-03-01,3,12
2013-04-01,5,13
2013-05-01,12,13
2013-06-01,6,13
2013-07-01,8,10
2013-08-01,7,17
2013-09-01,4,14
2013-10-01,11,14
2013-11-01,14,13
2013-12-01,9,16
2014-01-01,12,18
2014-02-01,16,12
2014-03-01,17,13
2014-04-01,17,8
2014-05-01,26,13
2014-06-01,37,11
2014-07-01,44,10
2014-08-01,46,14
2014-09-01,46,15
2014-10-01,33,13
2014-11-01,44,14
2014-12-01,52,16
2015-01-01,40,15
2015-02-01,43,10
2015-03-01,53,15
2015-04-01,53,13
2015-05-01,46,10
2015-06-01,53,12
2015-07-01,68,17
2015-08-01,68,25
2015-09-01,100,16
2015-10-01,79,17
2015-11-01,71,18
2015-12-01,88,12
2016-01-01,93,17
2016-02-01,92,12
2016-03-01,79,14
2016-04-01,78,17
2016-05-01,63,9
2016-06-01,59,16
2016-07-01,64,14
2016-08-01,84,14
2016-09-01,62,11
2016-10-01,47,11
2016-11-01,48,12
2016-12-01,49,11
2017-01-01,50,16
