date,incognito mode android,best anonymous browser
2011-01-01,4,4
2011-02-01,9,16
2011-03-01,13,8
2011-04-01,9,16
2011-05-01,13,15
2011-06-01,7,15
2011-07-01,13,11
2011-08-01,10,4
2011-09-01,4,6
2011-10-01,11,13
2011-11-01,17,11
2011-12-01,19,7
2012-01-01,14,14
2012-02-01,9,7
2012-03-01,25,12
2012-04-01,16,5
2012-05-01,21,11
2012-06-01,20,8
2012-07-01,20,8
2012-08-01,40,18
2012-09-01,30,7
2012-10-01,34,16
2012-11-01,48,18
2012-12-01,41,5
2013-01-01,52,15
2013-02-01,76,14
2013-03-01,55,16
2013-04-01,51,18
2013-05-01,41,17
2013-06-01,49,20
2013-07-01,36,11
2013-08-01,55,23
2013-09-01,49,5
2013-10-01,63,17
2013-11-01,48,18
2013-12-01,53,25
2014-01-01,55,25
2014-02-01,49,17
2014-03-01,56,20
2014-04-01,54,12
2014-05-01,52,11
2014-06-01,52,16
2014-07-01,58,12
2014-08-01,81,22
2014-09-01,60,16
2014-10-01,52,15
2014-11-01,60,17
2014-12-01,66,25
2015-01-01,72,20
2015-02-01,46,17
2015-03-01,51,23
2015-04-01,52,12
2015-05-01,57,13
2015-06-01,54,15
2015-07-01,63,22
2015-08-01,62,33
2015-09-01,67,20
2015-10-01,65,21
2015-11-01,74,21
2015-12-01,69,18
2016-01-01,71,17
2016-02-01,58,15
2016-03-01,70,19
2016-04-01,74,19
2016-05-01,89,14
2016-06-01,67,23
2016-07-01,79,16
2016-08-01,73,18
2016-09-01,72,11
2016-10-01,64,12
2016-11-01,74,14
2016-12-01,100,16
2017-01-01,69,23
