date,can my internet provider see what i am doing,best anonymous browser
2011-01-01,0,14
2011-02-01,0,50
2011-03-01,0,26
2011-04-01,0,48
2011-05-01,0,45
2011-06-01,0,46
2011-07-01,0,33
2011-08-01,12,12
2011-09-01,11,18
2011-10-01,11,40
2011-11-01,11,34
2011-12-01,11,22
2012-01-01,16,42
2012-02-01,22,22
2012-03-01,20,35
2012-04-01,10,16
2012-05-01,10,35
2012-06-01,9,26
2012-07-01,9,25
2012-08-01,9,55
2012-09-01,9,20
2012-10-01,9,50
2012-11-01,9,55
2012-12-01,18,14
2013-01-01,17,46
2013-02-01,18,41
2013-03-01,8,49
2013-04-01,8,54
2013-05-01,8,52
2013-06-01,8,62
2013-07-01,8,32
2013-08-01,8,68
2013-09-01,12,16
2013-10-01,0,52
2013-11-01,0,53
2013-12-01,0,77
2014-01-01,0,75
2014-02-01,0,51
2014-03-01,11,60
2014-04-01,8,36
2014-05-01,8,33
2014-06-01,8,49
2014-07-01,8,36
2014-08-01,12,68
2014-09-01,7,49
2014-10-01,7,47
2014-11-01,7,52
2014-12-01,7,76
2015-01-01,14,62
2015-02-01,7,51
2015-03-01,14,70
2015-04-01,21,38
2015-05-01,14,40
2015-06-01,7,45
2015-07-01,7,68
2015-08-01,6,100
2015-09-01,6,62
2015-10-01,6,65
2015-11-01,6,64
2015-12-01,8,55
2016-01-01,10,51
2016-02-01,12,45
2016-03-01,6,57
2016-04-01,6,59
2016-05-01,6,43
2016-06-01,6,71
2016-07-01,6,48
2016-08-01,6,55
2016-09-01,9,35
2016-10-01,5,36
2016-11-01,5,41
2016-12-01,6,49
2017-01-01,10,70
