date,private browsing safari iphone,best anonymous browser
2011-01-01,8,5
2011-02-01,15,8
2011-03-01,22,6
2011-04-01,16,9
2011-05-01,14,11
2011-06-01,15,10
2011-07-01,19,7
2011-08-01,16,4
2011-09-01,11,3
2011-10-01,47,7
2011-11-01,45,7
2011-12-01,50,5
2012-01-01,51,10
2012-02-01,50,5
2012-03-01,42,7
2012-04-01,34,3
2012-05-01,39,6
2012-06-01,35,9
2012-07-01,34,6
2012-08-01,36,10
2012-09-01,46,4
2012-10-01,29,12
2012-11-01,33,10
2012-12-01,33,5
2013-01-01,37,10
2013-02-01,36,8
2013-03-01,33,10
2013-04-01,28,11
2013-05-01,33,11
2013-06-01,31,11
2013-07-01,36,8
2013-08-01,33,14
2013-09-01,100,12
2013-10-01,75,12
2013-11-01,59,11
2013-12-01,72,13
2014-01-01,57,15
2014-02-01,57,10
2014-03-01,50,11
2014-04-01,47,7
2014-05-01,55,11
2014-06-01,53,9
2014-07-01,64,8
2014-08-01,55,12
2014-09-01,50,12
2014-10-01,67,11
2014-11-01,43,12
2014-12-01,47,13
2015-01-01,38,12
2015-02-01,39,8
2015-03-01,33,12
2015-04-01,32,11
2015-05-01,37,8
2015-06-01,40,10
2015-07-01,34,14
2015-08-01,34,20
2015-09-01,36,13
2015-10-01,36,14
2015-11-01,39,14
2015-12-01,41,10
2016-01-01,37,14
2016-02-01,37,10
2016-03-01,28,11
2016-04-01,40,14
2016-05-01,35,8
2016-06-01,31,13
2016-07-01,34,12
2016-08-01,36,12
2016-09-01,37,9
2016-10-01,40,9
2016-11-01,37,10
2016-12-01,36,9
2017-01-01,43,13
