date,proxy sites list,best anonymous browser
2011-01-01,94,1
2011-02-01,95,2
2011-03-01,100,2
2011-04-01,76,2
2011-05-01,84,3
2011-06-01,62,2
2011-07-01,60,2
2011-08-01,64,1
2011-09-01,82,1
2011-10-01,71,2
2011-11-01,76,2
2011-12-01,71,1
2012-01-01,72,2
2012-02-01,85,1
2012-03-01,82,2
2012-04-01,79,1
2012-05-01,83,2
2012-06-01,80,2
2012-07-01,71,1
2012-08-01,75,3
2012-09-01,85,1
2012-10-01,87,3
2012-11-01,73,3
2012-12-01,69,1
2013-01-01,61,3
2013-02-01,69,2
2013-03-01,67,2
2013-04-01,58,3
2013-05-01,60,3
2013-06-01,51,3
2013-07-01,53,2
2013-08-01,58,4
2013-09-01,52,3
2013-10-01,49,3
2013-11-01,55,3
2013-12-01,52,3
2014-01-01,52,4
2014-02-01,65,3
2014-03-01,65,3
2014-04-01,52,2
2014-05-01,54,3
2014-06-01,49,2
2014-07-01,55,2
2014-08-01,68,3
2014-09-01,63,3
2014-10-01,54,3
2014-11-01,53,3
2014-12-01,58,3
2015-01-01,52,3
2015-02-01,43,2
2015-03-01,51,3
2015-04-01,53,3
2015-05-01,46,2
2015-06-01,39,3
2015-07-01,45,4
2015-08-01,60,5
2015-09-01,48,3
2015-10-01,38,4
2015-11-01,34,4
2015-12-01,38,3
2016-01-01,41,4
2016-02-01,34,3
2016-03-01,37,3
2016-04-01,41,4
2016-05-01,38,2
2016-06-01,36,3
2016-07-01,40,3
2016-08-01,44,3
2016-09-01,41,2
2016-10-01,36,2
2016-11-01,31,3
2016-12-01,28,2
2017-01-01,32,3
