date,safari incognito iphone,best anonymous browser
2011-01-01,21,24
2011-02-01,13,40
2011-03-01,13,31
2011-04-01,14,43
2011-05-01,20,54
2011-06-01,28,48
2011-07-01,28,36
2011-08-01,13,21
2011-09-01,13,17
2011-10-01,12,36
2011-11-01,28,36
2011-12-01,24,23
2012-01-01,27,47
2012-02-01,11,26
2012-03-01,11,35
2012-04-01,19,15
2012-05-01,21,31
2012-06-01,36,46
2012-07-01,21,28
2012-08-01,35,49
2012-09-01,35,21
2012-10-01,47,57
2012-11-01,19,51
2012-12-01,41,25
2013-01-01,35,49
2013-02-01,48,41
2013-03-01,37,48
2013-04-01,58,52
2013-05-01,53,53
2013-06-01,55,55
2013-07-01,45,40
2013-08-01,51,70
2013-09-01,63,58
2013-10-01,31,58
2013-11-01,43,53
2013-12-01,43,64
2014-01-01,35,74
2014-02-01,27,49
2014-03-01,34,54
2014-04-01,43,33
2014-05-01,33,54
2014-06-01,43,45
2014-07-01,42,41
2014-08-01,47,58
2014-09-01,50,61
2014-10-01,53,53
2014-11-01,65,57
2014-12-01,84,66
2015-01-01,67,59
2015-02-01,70,41
2015-03-01,73,61
2015-04-01,58,53
2015-05-01,61,40
2015-06-01,64,50
2015-07-01,73,68
2015-08-01,82,100
2015-09-01,79,63
2015-10-01,98,69
2015-11-01,56,71
2015-12-01,86,49
2016-01-01,74,68
2016-02-01,89,51
2016-03-01,53,55
2016-04-01,72,68
2016-05-01,88,38
2016-06-01,58,66
2016-07-01,85,58
2016-08-01,61,57
2016-09-01,99,46
2016-10-01,74,44
2016-11-01,88,50
2016-12-01,90,44
2017-01-01,69,65
