date,does my internet provider know what websites i visit,best anonymous browser
2011-01-01,0,24
2011-02-01,22,40
2011-03-01,13,31
2011-04-01,13,43
2011-05-01,13,54
2011-06-01,14,48
2011-07-01,14,36
2011-08-01,13,21
2011-09-01,12,17
2011-10-01,12,36
2011-11-01,12,36
2011-12-01,14,23
2012-01-01,16,47
2012-02-01,11,26
2012-03-01,11,35
2012-04-01,11,15
2012-05-01,10,31
2012-06-01,10,46
2012-07-01,11,28
2012-08-01,21,49
2012-09-01,10,21
2012-10-01,9,57
2012-11-01,9,51
2012-12-01,10,25
2013-01-01,8,49
2013-02-01,8,41
2013-03-01,8,48
2013-04-01,8,52
2013-05-01,8,53
2013-06-01,9,55
2013-07-01,9,40
2013-08-01,8,70
2013-09-01,8,58
2013-10-01,8,58
2013-11-01,12,53
2013-12-01,13,64
2014-01-01,15,74
2014-02-01,16,49
2014-03-01,7,54
2014-04-01,8,33
2014-05-01,15,54
2014-06-01,11,45
2014-07-01,8,41
2014-08-01,14,58
2014-09-01,8,61
2014-10-01,8,53
2014-11-01,8,57
2014-12-01,7,66
2015-01-01,7,59
2015-02-01,23,41
2015-03-01,7,61
2015-04-01,7,53
2015-05-01,7,40
2015-06-01,11,50
2015-07-01,7,68
2015-08-01,7,100
2015-09-01,7,63
2015-10-01,13,69
2015-11-01,7,71
2015-12-01,9,49
2016-01-01,13,68
2016-02-01,9,51
2016-03-01,12,55
2016-04-01,9,68
2016-05-01,16,38
2016-06-01,14,66
2016-07-01,12,58
2016-08-01,9,57
2016-09-01,6,46
2016-10-01,23,44
2016-11-01,8,50
2016-12-01,14,44
2017-01-01,8,65
