date,incognito safari ipad,best anonymous browser
2011-01-01,14,14
2011-02-01,9,24
2011-03-01,11,19
2011-04-01,22,26
2011-05-01,11,33
2011-06-01,20,29
2011-07-01,19,22
2011-08-01,12,13
2011-09-01,31,10
2011-10-01,29,22
2011-11-01,22,22
2011-12-01,41,14
2012-01-01,47,29
2012-02-01,21,16
2012-03-01,35,22
2012-04-01,75,9
2012-05-01,44,19
2012-06-01,39,28
2012-07-01,47,17
2012-08-01,47,30
2012-09-01,38,13
2012-10-01,42,35
2012-11-01,44,31
2012-12-01,72,15
2013-01-01,69,30
2013-02-01,62,25
2013-03-01,72,29
2013-04-01,62,32
2013-05-01,75,32
2013-06-01,77,33
2013-07-01,100,24
2013-08-01,86,43
2013-09-01,84,35
2013-10-01,81,35
2013-11-01,91,32
2013-12-01,92,39
2014-01-01,77,45
2014-02-01,63,30
2014-03-01,63,33
2014-04-01,62,20
2014-05-01,70,33
2014-06-01,86,28
2014-07-01,83,25
2014-08-01,100,35
2014-09-01,95,37
2014-10-01,77,32
2014-11-01,65,35
2014-12-01,77,40
2015-01-01,91,36
2015-02-01,72,25
2015-03-01,49,37
2015-04-01,51,32
2015-05-01,67,24
2015-06-01,61,30
2015-07-01,54,42
2015-08-01,67,61
2015-09-01,83,39
2015-10-01,66,42
2015-11-01,50,43
2015-12-01,59,30
2016-01-01,41,41
2016-02-01,30,31
2016-03-01,31,34
2016-04-01,41,41
2016-05-01,49,23
2016-06-01,36,40
2016-07-01,37,35
2016-08-01,35,35
2016-09-01,43,28
2016-10-01,38,27
2016-11-01,25,30
2016-12-01,28,27
2017-01-01,39,40
