date,epic privacy browser,best anonymous browser
2011-01-01,0,6
2011-02-01,0,10
2011-03-01,0,8
2011-04-01,0,11
2011-05-01,0,14
2011-06-01,0,12
2011-07-01,0,9
2011-08-01,0,6
2011-09-01,0,4
2011-10-01,0,9
2011-11-01,0,9
2011-12-01,0,6
2012-01-01,0,12
2012-02-01,0,7
2012-03-01,0,9
2012-04-01,0,4
2012-05-01,0,8
2012-06-01,0,12
2012-07-01,0,7
2012-08-01,0,13
2012-09-01,0,5
2012-10-01,0,15
2012-11-01,0,13
2012-12-01,0,7
2013-01-01,0,13
2013-02-01,0,11
2013-03-01,0,12
2013-04-01,0,13
2013-05-01,0,14
2013-06-01,0,14
2013-07-01,0,10
2013-08-01,2,18
2013-09-01,46,15
2013-10-01,22,15
2013-11-01,23,14
2013-12-01,24,17
2014-01-01,30,19
2014-02-01,34,13
2014-03-01,27,14
2014-04-01,40,8
2014-05-01,30,14
2014-06-01,27,12
2014-07-01,26,11
2014-08-01,36,15
2014-09-01,39,16
2014-10-01,36,14
2014-11-01,61,15
2014-12-01,56,17
2015-01-01,75,15
2015-02-01,50,11
2015-03-01,58,16
2015-04-01,67,14
2015-05-01,61,10
2015-06-01,68,13
2015-07-01,65,18
2015-08-01,93,26
2015-09-01,64,16
2015-10-01,76,18
2015-11-01,68,18
2015-12-01,69,13
2016-01-01,77,17
2016-02-01,81,13
2016-03-01,73,14
2016-04-01,91,17
2016-05-01,75,10
2016-06-01,61,17
2016-07-01,72,15
2016-08-01,82,15
2016-09-01,86,12
2016-10-01,87,11
2016-11-01,100,13
2016-12-01,71,11
2017-01-01,80,17
