date,how to remove my information from google
2011-01-01,44
2011-02-01,31
2011-03-01,49
2011-04-01,23
2011-05-01,64
2011-06-01,33
2011-07-01,43
2011-08-01,48
2011-09-01,40
2011-10-01,38
2011-11-01,69
2011-12-01,25
2012-01-01,63
2012-02-01,36
2012-03-01,39
2012-04-01,35
2012-05-01,55
2012-06-01,25
2012-07-01,92
2012-08-01,50
2012-09-01,60
2012-10-01,25
2012-11-01,40
2012-12-01,30
2013-01-01,36
2013-02-01,51
2013-03-01,27
2013-04-01,48
2013-05-01,53
2013-06-01,46
2013-07-01,71
2013-08-01,44
2013-09-01,61
2013-10-01,46
2013-11-01,63
2013-12-01,42
2014-01-01,43
2014-02-01,51
2014-03-01,54
2014-04-01,100
2014-05-01,57
2014-06-01,49
2014-07-01,87
2014-08-01,39
2014-09-01,54
2014-10-01,36
2014-11-01,53
2014-12-01,56
2015-01-01,45
2015-02-01,37
2015-03-01,37
2015-04-01,38
2015-05-01,37
2015-06-01,49
2015-07-01,63
2015-08-01,37
2015-09-01,75
2015-10-01,41
2015-11-01,56
2015-12-01,60
2016-01-01,43
2016-02-01,73
2016-03-01,37
2016-04-01,87
2016-05-01,47
2016-06-01,29
2016-07-01,72
2016-08-01,64
2016-09-01,51
2016-10-01,48
2016-11-01,64
2016-12-01,52
2017-01-01,49
