date,how do i delete my facebook account?
2011-01-01,47
2011-02-01,38
2011-03-01,69
2011-04-01,43
2011-05-01,64
2011-06-01,56
2011-07-01,60
2011-08-01,100
2011-09-01,65
2011-10-01,48
2011-11-01,31
2011-12-01,65
2012-01-01,72
2012-02-01,88
2012-03-01,51
2012-04-01,66
2012-05-01,65
2012-06-01,75
2012-07-01,55
2012-08-01,58
2012-09-01,46
2012-10-01,31
2012-11-01,28
2012-12-01,49
2013-01-01,22
2013-02-01,46
2013-03-01,42
2013-04-01,42
2013-05-01,34
2013-06-01,38
2013-07-01,28
2013-08-01,28
2013-09-01,15
2013-10-01,32
2013-11-01,30
2013-12-01,27
2014-01-01,28
2014-02-01,30
2014-03-01,24
2014-04-01,38
2014-05-01,34
2014-06-01,44
2014-07-01,40
2014-08-01,25
2014-09-01,21
2014-10-01,39
2014-11-01,20
2014-12-01,23
2015-01-01,32
2015-02-01,34
2015-03-01,16
2015-04-01,24
2015-05-01,23
2015-06-01,34
2015-07-01,39
2015-08-01,28
2015-09-01,33
2015-10-01,43
2015-11-01,27
2015-12-01,35
2016-01-01,18
2016-02-01,26
2016-03-01,35
2016-04-01,32
2016-05-01,20
2016-06-01,18
2016-07-01,34
2016-08-01,18
2016-09-01,18
2016-10-01,32
2016-11-01,21
2016-12-01,28
2017-01-01,24
